eye: face, ura, asta, animal, lung
grass: corn, animal, chip, face, solid
root: aci, merge, face, crud, pod
tree: face, animal, merge, aci, chip
trunk: trist, trage, tocit, fluture, plin
bark: batic, biban, bun, bunic, basm
limb: limbaj, limbă, lung, lipi, linie
branch: aci, apus, face, ura, orb
leaf: face, chip, animal, lung, ura
birch: birui, buric, baston, piele, galben
pine: corn, face, chip, asta, animal
willow: muchie, robust, umblet, buton, apus
fir: umed, apus, jos, fel, ura
horn: corn, cap, ton, chip, apus
feather: piele, coace, zice, ceai, foame
fur: dur, chip, apus, fel, animal
wing: chip, apus, cap, face, umed
claw: slab, fluture, zice, smulge, joc
tail: face, chip, drag, cap, orb
egg: chip, corn, animal, face, lung
nest: apus, aci, est, chip, umed
lair: lins, lume, lup, lucra, lucru
animal: animal, face, doctor, cal, chip
flock: fugi, foc, fost, fier, fura
cow: animal, chip, corn, face, mare
bull: apus, animal, bate, chip, cale
horse: animal, face, doctor, chip, mare
sheep: muchie, chestie, piele, umblet, martie
pig: animal, chip, cap, face, corn
dog: animal, doctor, face, chip, lung
cat: animal, apus, cap, face, pat
bear: animal, chip, doctor, apus, face
squirrel: sanie, suna, surd, sosi, sud
elk: el, zvelt, gustos, zice, ajunge
fox: apus, doctor, umed, animal, chip
hare: mare, cale, bate, apus, asta
mouse: animal, face, chip, merge, aci
wolf: animal, apus, chip, doctor, mare
bird: animal, chip, doctor, face, apus
swarm: apus, zice, fluture, spate, smulge
chicken: tuna, chiciură, unchi, achita, piele
cock: cap, mare, cale, chip, ton
goose: muchie, rafturi, piele, umblet, eroare
eagle: asta, ura, minte, dinte, iepure
duck: animal, chip, apus, doctor, cale
owl: animal, doctor, apus, chip, face
crane: cracă, urca, frate, frunte, drum
crow: apus, cale, mare, umed, jos
cuckoo: clocoti, cinci, cocoș, cordon, curea
swan: zice, umblet, apus, sunet, zvelt
fish: animal, chip, corn, face, apus
perch: pernă, putere, rafturi, piele, corect
pike: aci, apus, chema, mie, merge
snake: animal, face, chip, ura, aci
worm: animal, chip, face, orb, cap
spider: spate, spori, spune, spumă, smulge
ant: mult, apus, umed, sus, amic
louse: lume, lins, lup, latură, lucra
midge: munte, minte, muri, mesteca, muncitor
fly: chip, drag, apus, mare, animal
butterfly: burtă, burete, bucată, bogat, bun
berry: chip, asta, corn, animal, ura
apple: chip, doctor, face, aci, apus
mushroom: mesteca, munte, muncitor, muscă, murdar
onion: buton, atinge, muchie, putere, robust
seed: animal, chip, face, cap, profit
grain: gras, grâu, slab, corn, fluture
hay: ton, cale, umed, apus, mare
husk: apus, baston, nerod, linge, jos
pit: chip, cap, apus, pat, sus
trap: cap, chip, apus, aci, face
noose: noi, muchie, noapte, putere, doar
track: apus, chip, face, drag, aci
ashes: apus, doctor, jos, umed, bate
filth: fluture, martie, ficat, ajunge, felie
iron: solid, corn, animal, chip, lung
gold: corn, solid, chip, animal, profit
silver: solid, chip, animal, corn, asta
coal: corn, animal, solid, cal, chip
glass: solid, chip, glas, animal, corn
clay: slab, fluture, robust, zice, ajunge
sand: chip, corn, solid, animal, lung
human: animal, duce, face, ura, solid
man: doctor, cale, apus, umed, ton
woman: doctor, animal, face, apus, profit
child: animal, doctor, face, profit, apus
boy: doctor, animal, cale, face, apus
girl: doctor, animal, face, cale, chip
family: animal, doctor, apus, profit, face
grandfather: robust, umblet, muchie, doctor, singur
grandmother: umblet, muchie, doctor, singur, robust
parents: doctor, apus, profit, face, corp
father: doctor, apus, cale, mare, face
mother: doctor, mare, animal, face, apus
son: ton, apus, gard, umed, om
daughter: doctor, apus, muchie, asta, ura
brother: soare, muchie, ajunge, robust, martie
sister: sanie, suna, sosi, sare, surd
uncle: robust, muchie, umblet, apus, ajunge
aunt: aici, aer, asta, muchie, martie
husband: apus, buton, muchie, nerod, soare
wife: doctor, asta, ura, face, muchie
joy: cale, apus, umed, jos, doctor
laughter: doctor, apus, animal, face, profit
happiness: haine, harnic, golf, gustos, zice
grief: golf, gustos, gust, guler, gusta
wish: apus, umed, doctor, chip, jos
desire: desena, des, desen, deschis, deschide
spirit: apus, animal, profit, face, chip
thought: face, profit, apus, animal, duce
memory: face, chip, aci, merge, profit
mind: face, apus, umed, profit, chip
meaning: duce, face, apus, profit, atinge
reason: apus, duce, profit, doctor, plan
truth: apus, profit, doctor, face, umed
talk: apus, deal, plan, umed, face
fairy tale: fugi, fuma, familie, fura, umblet
story: apus, face, doctor, umed, animal
message: merge, aci, face, crud, final
news: apus, corp, ura, unu, alt
name: merge, face, aci, final, ori
puzzle: pieri, punte, pune, poveste, picta
speech: face, apus, animal, profit, doctor
language: merge, face, aci, animal, ura
voice: face, apus, aci, doctor, ura
word: face, chip, aci, cap, merge
sign: plan, opt, profit, apus, face
call: aci, merge, cal, apus, final
noise: face, ura, chema, asta, animal
sound: face, animal, chip, apus, drag
tone: face, ura, bate, duce, mie
song: doctor, face, drag, apus, chip
calm: cal, calic, robust, atinge, muchie
people: doctor, apus, face, profit, animal
nation: apus, umed, doctor, profit, corp
work: profit, plan, face, deal, apus
guest: apus, doctor, aci, asta, umed
gift: profit, chip, face, apus, doctor
game: merge, face, aci, crud, ura
company: aci, apus, asta, ura, profit
help: merge, profit, apus, plan, aci
friend: doctor, apus, face, cale, umed
companion: comunica, corect, iepure, apus, trimite
matter: duce, apus, face, profit, umed
count: merge, opt, tot, numi, aci
sort: merge, opt, aci, face, drag
piece: face, bate, plan, aci, ura
part: parte, opt, plan, mult, cap
half: face, solid, doctor, chip, cap
circle: face, aci, orb, arc, chip
cross: face, chip, cap, apus, animal
line: face, aci, merge, pin, ura
stroke: face, animal, doctor, ura, profit
gap: cap, apus, chip, aci, umed
distance: face, aci, merge, profit, apus
area: ura, asta, aci, chema, face
space: face, unu, animal, apus, ura
place: face, aci, plan, bate, duce
side: face, chip, aci, merge, asta
middle: face, apus, doctor, aci, asta
item: aci, merge, face, plan, final
thing: apus, face, cale, umed, plan
fringe: frunte, frate, frig, frumos, frânge
edge: face, aci, ura, merge, asta
corner: face, chip, solid, animal, asta
tip: chip, cap, face, drag, pin
end: cap, face, plan, orb, apus
hole: face, chip, duce, cap, cale
angle: face, merge, drag, orb, pin
pattern: face, aci, merge, plan, chip
size: merge, face, aci, opt, plan
length: face, merge, aci, opt, final
height: face, profit, merge, aci, opt
weight: face, profit, aci, cap, merge
amount: aci, face, profit, merge, tot
heap: merge, aci, chip, crud, cap
row: face, drag, aci, cap, opt
boat: chip, animal, apus, cap, face
oar: oală, oameni, doar, asta, ura
sleigh: sanie, suna, surd, sare, sosi
ski: asta, ura, zi, azi, aci
campfire: umblet, aprilie, robust, chestie, muchie
load: merge, final, crud, aci, drag
walk: face, plan, apus, drag, cap
step: face, chip, cap, aci, opt
north: apus, asta, elan, umed, mare
south: apus, umed, elan, asta, mare
west: apus, elan, umed, asta, jos
east: apus, asta, elan, umed, mare
wood: solid, chip, corn, animal, cap
board: aci, merge, plan, face, chip
slab: slab, fluture, spate, smulge, rafturi
bracket: brad, frunte, frate, fluture, tocit
pole: chip, face, cale, cap, mare
stick: drag, chip, face, animal, cap
staff: apus, doctor, umed, profit, corp
pipe: face, chip, aci, ura, asta
house: face, animal, doctor, chip, asta
home: unu, asta, animal, face, ura
stove: sticlă, stomac, stâng, stofă, stingheri
floor: face, chip, solid, animal, cap
table: merge, face, crud, plan, aci
chair: chip, doctor, apus, asta, face
cradle: cracă, fluture, frunte, frate, drum
bed: chip, cap, face, umed, ton
shelf: face, chip, animal, cap, aci
box: chip, face, aci, cap, pod
window: crud, os, corp, chema, sec
door: chip, doctor, face, asta, bate
gate: face, bate, aci, chip, ura
fence: fugi, fier, foc, fura, fuma
roof: chip, solid, face, animal, corn
ladder: lume, lins, luminos, lup, luntre
broom: batic, biban, bunic, basm, bun
spade: spate, spori, spune, spumă, zice
shovel: slab, zice, spate, zvelt, muchie
fork: face, chip, aci, pin, pod
spoon: spate, spori, spune, spumă, smulge
knife: face, chip, ura, aci, asta
net: apus, opt, aci, umed, stat
hook: crud, merge, face, cap, aci
handle: merge, aci, face, crud, final
lock: pin, chip, face, apus, drag
picture: face, doctor, chip, apus, asta
figure: face, merge, plan, aci, orb
doll: doctor, animal, cale, chip, face
pouch: pieri, punte, pune, picta, pisc
bundle: merge, aci, crud, face, drag
bag: chip, drag, cap, face, pin
bucket: chip, face, aci, cap, animal
cover: apus, doctor, face, umed, aci
dishes: dinte, dori, dansa, durea, dibaci
sack: sanie, surd, sare, sac, suna
cup: cap, chip, face, apus, ton
pot: cap, pod, pat, chip, cot
kettle: zice, gustos, golf, umblet, tuna
meal: face, profit, deal, chip, animal
food: animal, profit, chip, face, umed
dish: chip, face, apus, cap, umed
meat: piele, cutie, tuna, muchie, piept
corn: corn, chip, cap, animal, lung
mush: munte, muri, minte, murdar, muncitor
bread: corn, chip, profit, animal, face
slice: merge, face, aci, chip, ura
fat: fată, chip, pat, cap, animal
butter: batic, bun, biban, bunic, bani
oil: corn, chip, animal, solid, profit
salt: chip, corn, cap, aci, ura
soup: chip, unu, corn, animal, asta
honey: haine, harnic, tuna, golf, gustos
milk: minte, muri, munte, mesteca, muscă
tea: asta, ura, chema, chip, face
leather: leac, leagăn, piele, fabrica, veste
wool: foame, piele, linge, linie, soare
cloth: animal, chip, face, cap, fabrica
needle: face, chip, animal, pin, solid
thread: face, chip, merge, aci, pod
button: face, aci, pin, merge, cap
knot: zice, zvelt, gustos, batic, joc
paint: face, chip, cap, pin, asta
clothes: piele, cutie, chestie, zice, pleca
shirt: chip, face, doctor, apus, cap
collar: ameliora, pleca, veste, atinge, fluture
sleeve: sanie, scaun, suna, salcie, sfoară
trousers: trage, trist, frunte, pleca, burete
belt: chip, ura, cap, asta, apus
cap: cap, capac, apus, chip, amic
shoe: zice, piele, chestie, piept, spate
boot: chip, apus, cap, aci, pod
ring: chip, face, cap, drag, ura
ribbon: face, chip, aci, pin, orb
comb: orb, opt, cap, face, chip
mirror: face, chip, apus, doctor, unu
strap: cap, chip, face, drag, pin
string: merge, final, val, aci, face
leash: leac, leagăn, piele, martie, muchie
blanket: frontieră, actualitate, chestie, umblet, colora
pillow: chestie, piele, cutie, colora, chip
scarf: scară, chestie, piele, veste, stingheri
towel: tub, tuna, tendon, timp, tare
force: face, aci, duce, apus, merge
strength: profit, face, duce, apus, plan
health: profit, apus, umed, animal, doctor
illness: muchie, apus, duce, atinge, umed
pain: lung, duce, profit, animal, face
wound: tendon, golf, lung, zice, batic
fever: febră, freca, ceai, ureche, zice
medicine: doctor, face, animal, apus, ura
bridge: aci, face, asta, ura, chip
well: nor, duce, doctor, umed, muchie
pasture: umblet, animal, muchie, singur, chestie
path: merge, opt, loc, face, aci
way: apus, cale, umed, nor, ton
road: chip, animal, face, umed, cap
village: vase, vreme, vultur, vopsea, vui
town: apus, umed, doctor, cale, ura
letter: face, doctor, plan, cap, aci
book: doctor, face, apus, umed, unu
character: face, animal, aci, ura, doctor
newspaper: actualitate, aprilie, muchie, sfoară, apuca
life: face, ura, asta, profit, unu
death: doctor, animal, apus, face, profit
grave: face, bate, duce, ura, asta
church: apus, doctor, animal, umed, chip
sin: pin, sol, plan, chema, elan
god: umed, doctor, apus, jos, nod
worker: merge, doctor, aci, face, crud
boss: apus, chip, doctor, asta, aci
master: doctor, apus, aci, asta, chip
doctor: doctor, apus, umed, chip, asta
teacher: doctor, apus, animal, umed, profit
money: profit, face, doctor, animal, chip
business: profit, apus, doctor, corp, aci
shop: apus, unu, asta, ura, umed
price: pricepe, profit, face, merge, asta
ware: mare, cale, apus, umed, bate
profit: profit, apus, deal, cap, plan
wealth: profit, apus, umed, animal, doctor
world: animal, doctor, apus, face, umed
country: animal, face, chip, doctor, cap
state: aci, merge, face, apus, sec
king: apus, doctor, mare, umed, cale
power: face, profit, chip, aci, cap
border: face, aci, animal, cap, chip
war: dar, nor, iar, doctor, apus
enemy: face, aci, animal, doctor, apus
violence: ameliora, atinge, apus, muchie, actualitate
fight: apus, face, doctor, umed, duce
bow: chip, cap, apus, face, bate
arrow: pin, face, doctor, alt, aci
gun: chip, animal, apus, cap, doctor
mistake: muchie, putere, atinge, buton, apus
lie: duce, mie, geme, cale, bate
damage: face, duce, aci, ura, profit
misfortune: muchie, apus, traduce, noroi, atinge
fault: face, aci, chip, profit, orb
age: face, duce, merge, aci, ura
conclusion: conduce, conversa, construi, atinge, putere
time: face, merge, profit, aci, ura
day: face, apus, profit, cale, cap
morning: muchie, nor, noroi, popor, singur
noon: unu, apus, umed, ura, asta
evening: muchie, buton, atinge, robust, putere
night: animal, face, mare, doctor, chip
week: apus, plan, profit, umed, cale
month: merge, aci, plan, tot, face
year: profit, plan, apus, face, aci
spring: aci, crud, apus, face, chip
summer: animal, apus, doctor, asta, chip
autumn: august, aprilie, robust, umblet, golf
winter: animal, doctor, chip, apus, mare
January: ieri, unu, corn, asta, și
February: ieri, unu, corn, asta, mare
March: ieri, corn, unu, mare, umed
April: ieri, ei, unu, corn, evada
May: duce, nor, umed, an, ton
June: ieri, unu, duce, ei, asta
July: ieri, unu, corn, cal, asta
August: ieri, unu, evada, duce, ei
September: ieri, unu, corn, asta, duce
October: ieri, unu, corn, asta, mare
November: ieri, unu, corn, asta, evada
December: ieri, unu, corn, asta, animal
Monday: ieri, unu, sat, mare, asta
Tuesday: ieri, unu, sat, și, asta
Wednesday: ieri, unu, sat, asta, și
Thursday: ieri, unu, sat, asta, deal
Friday: ieri, unu, sat, și, mare
Saturday: ieri, unu, sat, asta, ura
Sunday: ieri, unu, sat, asta, și
big: chip, apus, doctor, cap, solid
little: doctor, animal, asta, mare, chip
long: cap, face, ton, duce, umed
short: apus, animal, face, final, doctor
wide: face, duce, asta, ura, solid
narrow: nord, vase, golf, circular, ruga
dense: solid, face, duce, aci, merge
thick: cutie, muchie, hotar, robust, zice
thin: solid, pin, chip, face, asta
delicate: atinge, muchie, piele, actualitate, robust
firm: apus, umed, asta, duce, ura
flat: solid, chip, face, cap, drag
smooth: solid, face, robust, chip, duce
hard: solid, chip, face, cap, animal
soft: solid, chip, face, cap, apus
round: solid, face, chip, cap, asta
pointed: poseda, atinge, robust, putere, face
sharp: asta, chip, apus, ura, aci
blunt: blând, blajin, fluture, slab, spate
heavy: solid, animal, chip, face, asta
beautiful: doctor, apus, animal, asta, muchie
hot: hotar, chip, apus, asta, cap
warm: solid, chip, hotar, face, animal
cold: solid, corn, chip, animal, lung
cool: doctor, apus, animal, chip, face
fresh: apus, chip, animal, umed, unu
damp: dori, dinte, dibaci, dormi, dansa
wet: tub, zvelt, hotar, golf, zice
dry: solid, corn, chip, face, animal
full: final, face, solid, chip, animal
empty: merge, final, aci, face, cap
open: merge, final, aci, opt, val
closed: duce, face, apus, solid, aci
clean: merge, aci, face, plan, chip
dirty: doctor, chip, animal, apus, face
raw: animal, face, solid, aci, chip
ripe: aci, asta, ura, apus, face
delicious: muchie, ajunge, actualitate, fluture, martie
sweet: cutie, mare, doctor, chip, animal
bitter: batic, biban, bunic, bani, bun
sour: sanie, sare, suna, surd, sud
bright: solid, animal, apus, asta, chip
dark: solid, animal, face, chip, doctor
black: solid, animal, face, doctor, apus
white: asta, face, solid, bate, animal
red: solid, chip, umed, asta, cap
yellow: solid, animal, chip, face, asta
blue: asta, face, ura, bate, solid
green: asta, solid, elan, ura, animal
grey: solid, asta, chip, face, doctor
colourful: colora, colorat, fabrica, animal, actualitate
cheap: asta, apus, chip, doctor, umed
dear: deja, de vale, deget, de ce, deodată
precious: muchie, robust, atinge, apus, fecior
blind: apus, animal, doctor, face, chip
deaf: deget, deja, de vale, de ce, deodată
powerful: robust, putere, atinge, muchie, corect
strong: duce, solid, face, apus, aci
weak: solid, duce, face, aci, animal
slim: slab, fluture, robust, trimite, smulge
pretty: doctor, face, apus, animal, aci
evil: doctor, apus, animal, umed, chip
stupid: stâng, stomac, stingheri, sticlă, stofă
lazy: merge, aci, final, drag, crud
diligent: diferit, dibaci, dintre, dinte, durea
stingy: stingheri, stomac, stofă, sticlă, muchie
clever: pleca, muchie, cale, putere, ajunge
skilful: muchie, jilav, robust, puternic, ajunge
merry: munte, minte, muri, mesteca, murdar
gentle: muchie, robust, atinge, umblet, putere
hungry: singur, cutie, umblet, muchie, robust
sick: sanie, sare, surd, suna, sud
naked: nord, golf, zice, sanie, vase
sad: apus, doctor, umed, jos, cale
living: animal, apus, doctor, face, umed
good: apus, doctor, animal, umed, chip
bad: apus, umed, doctor, animal, chip
correct: aci, corect, face, final, merge
nasty: nord, zice, sanie, gustos, haine
true: face, duce, animal, apus, asta
old: apus, umed, doctor, chip, asta
new: final, apus, aci, doctor, asta
former: apus, duce, asta, umed, ura
aged: umed, duce, apus, atinge, animal
young: doctor, apus, umed, mare, elan
poor: poartă, doar, poftă, atinge, robust
rich: jos, apus, robust, umed, cale
familiar: fier, fugi, foc, fum, fost
famous: fier, fugi, foc, fum, fost
foreign: animal, apus, doctor, aci, umed
different: duce, poseda, atinge, animal, solid
near: duce, ton, umed, apus, nor
far: dar, nor, iar, clar, duce
left: face, cap, aci, drag, final
right: face, profit, aci, apus, cap
other: duce, apus, animal, poseda, aci
first: final, face, aci, merge, doctor
second: final, apus, doctor, duce, animal
third: apus, final, umed, doctor, animal
last: final, aci, apus, doctor, animal
alone: duce, face, apus, muchie, bate
at once: atât, atunci, atinge, poseda, duce
together: atinge, buton, muchie, soare, poseda
suddenly: sanie, sare, suna, sud, sens
instantly: muchie, doctor, putere, buton, robust
later: duce, apus, nor, ton, umed
now: apus, buton, umed, nor, duce
today: apus, doctor, umed, cale, ura
tomorrow: martie, ajunge, robust, muchie, aprilie
soon: apus, nor, buton, duce, ton
then: duce, buton, ton, nor, apus
yesterday: soare, buton, muchie, doar, zice
once: duce, apus, muchie, nor, soare
at that time: atât, atunci, atinge, buton, poseda
afterwards: buton, atinge, poseda, muchie, duce
before: face, final, merge, duce, doctor
at first: atât, atunci, buton, atinge, pe atunci
sometimes: duce, buton, apus, nor, muchie
often: duce, nor, an, poseda, muchie
always: apus, muchie, duce, doctor, nor
never: nor, doctor, apus, cum, mare
here: duce, apus, cale, bate, nor
hither: haine, harnic, biban, batic, bunic
hence: haine, harnic, duce, batic, buton
there: duce, nor, cale, asta, mare
thither: muchie, nerod, apus, martie, achita
ahead: apus, unu, aci, umed, ura
forward: merge, face, aci, apus, profit
backward: alt, ieri, eu, asta, unu
below: duce, apus, profit, poseda, atinge
down: face, cap, apus, chip, duce
above: duce, face, asta, apus, ura
up: apus, umed, cap, drag, ud
everywhere: muchie, putere, atinge, soare, doar
not: nor, duce, apus, buton, ton
a little: aici, aer, poseda, muchie, atinge
hardly: muchie, robust, buton, putere, umblet
very: duce, soare, muchie, an, apus
so: soare, soț, duce, buton, nor
still: duce, muchie, nor, doctor, apus
only: duce, apus, buton, nor, umed
already: duce, apus, nor, doctor, muchie
again: duce, apus, buton, muchie, soare
in vain: inimă, intra, atinge, poseda, duce
in front of: atât, inimă, atunci, atinge, poseda
behind: buton, apus, soare, putere, atinge
under: duce, apus, an, nor, umed
through: duce, poseda, atinge, apus, an
next to: atinge, atât, buton, poseda, atunci
between: duce, atinge, poseda, an, apus
because of: duce, atinge, buton, poseda, soare
this: apus, ura, aci, final, unu
that: duce, buton, nor, atinge, apus
everything: apus, doctor, muchie, umed, duce
I: iubit, ou, iubi, nor, ieri
you: ou, nor, apus, doctor, duce
thou: muchie, achita, martie, zice, zvelt
he: duce, an, geme, apus, nor
we: ou, iubit, iubi, asta, geme
they: nor, ou, duce, apus, ton
what: duce, apus, nor, doctor, buton
who: asta, ura, chema, ou, nor
where: duce, apus, atinge, buton, doar
where ... to: buton, toamnă, doar, muchie, atinge
how: duce, apus, buton, nor, soare
why: duce, doar, buton, apus, atinge
how much: atinge, muchie, duce, doar, buton
one: face, ura, asta, doctor, duce
two: duce, ura, asta, aci, face
three: duce, ura, asta, face, unu
four: duce, apus, umed, animal, doctor
five: duce, ura, face, asta, unu
six: apus, duce, umed, ton, doctor
seven: apus, duce, doctor, ura, umed
eight: duce, apus, umed, unu, ton
nine: duce, ura, apus, asta, unu
ten: ton, apus, umed, duce, cale
eleven: pleca, piele, zice, apus, ajunge
twelve: zice, muchie, martie, apus, urca
twenty: asta, doctor, unu, ura, apus
thirty: zice, zvelt, martie, sanie, golf
forty: forte, martie, robust, umblet, aprilie
fifty: fugi, fier, fura, fuma, fum
sixty: muchie, umblet, aprilie, robust, actualitate
seventy: se usca, septembrie, se face, se topi, se scurge
eighty: muchie, umblet, actualitate, aprilie, cutie
ninety: martie, zice, noroi, zvelt, muchie
a hundred: aici, aer, poseda, ață, atinge
a thousand: aici, aer, poseda, atinge, asta
and: duce, buton, atinge, nor, an
or: duce, nor, an, buton, apus
stand: apus, umed, face, duce, chip
sit: sat, apus, lut, umed, cap
hang: drag, chip, ton, apus, face
become: atinge, muchie, duce, poseda, putere
happen: haine, harnic, batic, biban, basm
begin: merge, aci, plan, crud, final
change: aci, merge, face, plan, apus
rise: ura, asta, apus, face, aci
set: merge, aci, final, opt, val
shine: apus, face, asta, ura, bate
blow: blând, blajin, fluture, slab, putere
stream: aci, apus, face, chip, putere
flow: face, chip, profit, drag, cap
revolve: apus, muchie, ajunge, robust, fluture
sway: apus, zice, fluture, putere, smulge
swing: chip, drag, apus, face, cap
fall: animal, apus, chip, cap, face
burn: apus, umed, face, cale, ton
freeze: merge, face, aci, ura, chip
thaw: zice, zvelt, apus, muchie, spate
melt: minte, munte, muri, mesteca, muncitor
boil: boabă, boală, foame, coace, piept
rot: rotund, lut, cap, amic, apus
decay: face, duce, profit, orb, drag
snap: cap, apus, chip, aci, face
sink: chip, face, cap, apus, chestie
pass: apus, aci, cap, vis, opt
appear: duce, apus, nor, putere, face
disappear: putere, apus, muchie, conduce, traduce
decrease: deja, deget, de ce, de vale, duce
increase: duce, face, aci, atinge, profit
grow: apus, duce, umed, profit, cap
sparkle: rafturi, iepure, corect, piele, smulge
be noisy: bea, muchie, atinge, duce, poseda
chime: zice, achita, unchi, ajunge, muchie
tinkle: tare, timp, tremura, tuna, tub
roar: groapă, zice, muchie, arunca, urca
rustle: rafturi, umblet, muchie, piele, putere
howl: muchie, soare, atinge, putere, doar
whistle: zice, muchie, fluture, ajunge, spate
shout: apus, muchie, zice, ajunge, fluture
groan: groapă, zice, piele, muchie, foame
tremble: tremura, tare, timp, tub, tunet
be alive: bea, muchie, atinge, soare, duce
be born: bea, muchie, duce, soare, poseda
breathe: batic, burete, biban, bunic, bucate
drink: chip, profit, deal, face, doctor
eat: apus, sat, unu, pat, umed
swallow: muchie, apus, fluture, umblet, zice
get tired: putere, muchie, buton, doar, doctor
fall asleep: chestie, cutie, muchie, animal, umblet
wake up: muchie, atinge, putere, soare, apus
get up: putere, muchie, buton, doar, atinge
relax: fluture, putere, curge, corect, obscur
fall ill: august, muchie, singur, atinge, apus
be ill: bea, muchie, duce, an, nor
ache: ura, bate, duce, ureche, chema
cough: cordon, cinci, curent, cald, curea
recover: aci, apus, duce, merge, face
die: mie, duce, geme, asta, piele
perish: pernă, putere, atinge, aduce, muchie
move: merge, aci, face, putere, drag
budge: biban, batic, bunic, bani, burete
stand up: chestie, singur, poseda, atinge, muchie
sit down: singur, buton, muchie, atinge, putere
tumble: tare, timp, tuna, tub, tendon
pace: apus, asta, bate, ura, unu
go for a walk: muchie, doar, toamnă, atinge, putere
rush: apus, umed, doctor, chip, cale
hurry: haine, harnic, gustos, biban, golf
dash: apus, aci, chip, cap, umed
