eye: pie, oca, asta, cola, gota
east: ayer, irse, asta, rey, oca
wood: red, placer, animal, meter, ayer
board: meter, oca, cola, tabla, todo
slab: revolver, fluir, multicolor, prado, padres
bracket: brillar, trazo, llaga, barrer, trampa
pole: meter, ayer, pie, irse, asta
stick: meter, animal, pie, red, ayer
staff: oca, eso, ayer, irse, meter
pipe: pie, meter, pieza, cola, asta
house: grave, animal, oca, meter, ayer
home: oca, idea, asa, asta, arena
stove: bigote, revolver, barato, barca, ventana
floor: meter, pie, idea, animal, fabricar
table: tabla, cola, meter, todo, idea
chair: ayer, meter, eso, asta, idea
cradle: crudo, prado, trineo, zorro, gritar
bed: meter, ayer, red, pie, eso
shelf: meter, idea, animal, eso, ayer
box: meter, pie, cola, oca, ayer
window: cola, todo, tabla, oro, oca
door: meter, ayer, eso, asta, idea
gate: meter, pie, oca, ayer, irse
fence: fresco, fuego, foso, fregar, fino
roof: meter, placer, animal, pie, grave
ladder: lazo, lamer, largo, luna, llover
broom: bello, baya, bajo, bota, bajar
spade: impeler, tapadera, prado, trineo, maestro
shovel: revolver, zorro, menear, hornear, hurtar
fork: meter, ayer, pie, verter, oca
spoon: revolver, impeler, tapadera, zorro, ganas
knife: pie, cola, oca, meter, idea
net: meter, oca, asar, ayer, sol
hook: todo, cola, meter, tabla, error
handle: meter, idea, todo, once, no
lock: meter, ayer, eso, idea, once
picture: idea, ayer, oca, meter, irse
figure: figura, idea, meter, cola, oca
doll: ayer, irse, animal, eso, pez
pouch: pino, poder, paso, pender, pueblo
bundle: todo, tabla, meter, error, idea
bag: ayer, meter, pie, irse, pez
bucket: meter, ayer, pie, cola, idea
cover: ayer, imagen, oca, irse, eso
dishes: diente, dios, doler, dolor, dormir
sack: sauce, sopa, saber, silla, sombra
cup: meter, pie, ayer, oca, irse
pot: potencia, ayer, oler, pie, meter
kettle: ganas, zorro, jefe, gusto, ganso
meal: pie, meter, cola, animal, oca
food: animal, pie, oca, ayer, meter
dish: meter, ayer, oca, irse, pie
meat: mejilla, sauce, pie, oveja, muchacho
corn: pez, pie, ayer, hornear, placer
mush: morder, manta, mecer, madera, muelle
bread: pie, ayer, animal, meter, oca
slice: pie, cola, pieza, meter, oca
fat: fatigarse, animal, ayer, meter, eso
butter: bello, baya, bota, bajar, boca
oil: placer, animal, meter, cola, pie
salt: saltar, cola, meter, pie, oca
soup: pie, ayer, oca, sauce, irse
honey: huevo, hongo, hilo, hombre, hambre
milk: mango, madera, manta, manga, mecer
tea: cola, oca, asta, raya, gota
leather: leche, leer, letra, lechuza, barato
wool: menear, bigote, barca, rojo, polvo
cloth: animal, fabricar, meter, ayer, eso
needle: meter, animal, pie, cola, grave
thread: meter, pie, idea, error, cola
button: oca, todo, cola, botón, tabla
knot: zorro, ganas, tintinear, jefe, hurtar
paint: meter, idea, pie, ayer, oca
clothes: menear, barato, barullo, barca, zorro
shirt: ayer, meter, pie, irse, oca
collar: colgar, colina, hornear, llaga, multicolor
sleeve: sauce, sopa, silla, sensato, sueño
trousers: tragar, trampa, trazo, triste, trueno
belt: meter, placer, ayer, eso, asta
cap: ayer, meter, oca, irse, eso
shoe: bigote, barca, jefe, zorro, menear
boot: meter, ayer, oca, irse, pie
ring: meter, pie, ayer, verter, eso
ribbon: meter, pie, oca, cola, ayer
comb: combate, meter, oca, cola, eso
mirror: meter, idea, ayer, fabricar, eso
strap: meter, ayer, tapadera, oca, verter
string: vara, final, tabla, meter, error
leash: leer, leche, letra, llevar, menear
blanket: bigote, padres, multicolor, tapadera, barullo
pillow: revolver, padres, bigote, multicolor, tapadera
scarf: barullo, barca, hornear, menear, barbilla
towel: taza, tubo, tumba, tapa, tonto
force: meter, once, idea, eso, oca
strength: meter, once, eso, idea, ayer
health: animal, oca, eso, irse, ayer
illness: mentira, once, allí, eso, menear
pain: animal, ayer, eso, irse, meter
wound: hurtar, fresco, ganas, hilo, impeler
fever: febrero, irse, revolver, pecho, calma
medicine: oca, animal, idea, ayer, meter
bridge: oca, meter, asta, idea, pie
well: once, eso, ayer, meter, irse
pasture: pasto, bandada, muchacho, animal, caliente
path: meter, tabla, error, todo, distinto
way: ayer, once, irse, meter, verter
road: animal, meter, grave, ayer, irse
village: valla, vago, vender, viento, vaca
town: ayer, irse, oca, once, meter
letter: meter, ayer, idea, pie, oca
book: ayer, irse, idea, oca, meter
character: idea, meter, animal, ayer, eso
newspaper: padres, revolver, multicolor, menear, barca
life: idea, oca, eso, grave, asta
death: animal, ayer, grave, eso, once
grave: grave, pie, ayer, irse, gota
church: oca, ayer, irse, grave, eso
sin: tan, sin filo, irse, vara, sol
god: ayer, rey, eso, irse, once
worker: todo, oca, cola, meter, animal
boss: ayer, oca, irse, rico, asta
master: meter, ayer, eso, asta, irse
doctor: ayer, irse, oca, eso, rico
teacher: ayer, oca, eso, animal, irse
money: meter, ayer, animal, oca, idea
business: idea, oca, eso, ayer, irse
shop: ayer, oca, idea, asta, irse
price: precio, idea, pie, cola, oca
ware: irse, ayer, meter, eso, verter
profit: ayer, meter, eso, idea, irse
wealth: eso, irse, ayer, animal, once
world: animal, ayer, oca, irse, idea
country: animal, meter, oca, ayer, idea
state: oca, meter, asa, animal, idea
king: ayer, rey, irse, rico, eso
power: meter, idea, eso, pie, ayer
border: meter, oca, ayer, animal, grave
war: dar, asar, ayer, irse, atar
enemy: meter, animal, once, cola, oca
violence: violencia, mentira, sentir, declive, once
fight: once, ayer, eso, irse, meter
bow: ayer, meter, irse, eso, pie
arrow: abajo, imagen, oca, ayer, meter
gun: animal, ayer, irse, meter, pez
mistake: mentira, menear, muchacho, ayer, poseer
lie: liebre, pie, eso, irse, ave
damage: meter, idea, once, oca, eso
misfortune: mentira, muchacho, ayer, fundirse, ensueño
fault: meter, eso, error, idea, verter
age: pie, meter, oca, once, ave
conclusion: conducir, conversación, congregarse, concebir, conversar
time: meter, pie, idea, cola, once
day: ayer, meter, once, irse, oca
morning: morir, maduro, muchacho, madurar, barullo
noon: ayer, irse, oca, raya, eso
evening: muchacho, once, menear, allí, ayer
night: animal, ayer, eso, grave, meter
week: ayer, eso, oca, meter, once
month: meter, tabla, oca, cola, ayer
year: meter, ayer, once, oca, irse
spring: oca, pie, meter, ayer, cola
summer: ayer, oca, animal, raya, eso
autumn: multicolor, revolver, menear, marcharse, caliente
winter: animal, ayer, oca, irse, red
January: noviembre, octubre, marzo, Estado, oca
February: noviembre, marzo, octubre, Estado, oca
March: noviembre, marzo, octubre, irse, mar
April: noviembre, Estado, marzo, rey, octubre
May: mayo, rey, ayer, mar, eso
June: noviembre, irse, Estado, asta, rey
July: noviembre, marzo, octubre, Estado, agosto
August: noviembre, octubre, irse, orilla, ayer
September: noviembre, octubre, marzo, Estado, eso
October: noviembre, octubre, marzo, Estado, irse
November: noviembre, octubre, marzo, Estado, oca
December: noviembre, octubre, marzo, Estado, oca
Monday: ayer, eso, irse, Estado, onda
Tuesday: ayer, eso, irse, onda, grave
Wednesday: ayer, eso, irse, grave, oca
Thursday: ayer, eso, irse, onda, pie
Friday: ayer, Estado, pie, rey, grave
Saturday: ayer, eso, onda, oca, irse
Sunday: grave, Estado, ayer, uno, pie
big: bigote, red, ayer, meter, rey
little: ayer, bigote, eso, rey, red
long: longitud, meter, ayer, once, eso
short: longitud, meter, eso, ayer, animal
wide: meter, pie, grave, idea, eso
narrow: nudo, nadar, nido, nuevo, norte
dense: meter, animal, cola, mono, pie
thick: multicolor, ayer, bigote, hornear, zorro
thin: meter, eso, red, pie, oca
delicate: delgado, delicado, delante de, caliente, calma
firm: ayer, oca, eso, once, irse
flat: meter, red, pie, animal, ayer
smooth: meter, ayer, multicolor, red, eso
hard: red, meter, animal, eso, ayer
soft: red, meter, eso, ayer, animal
round: red, meter, multicolor, eso, ayer
pointed: meter, costado, multicolor, longitud, sentido
sharp: ayer, eso, asta, meter, oca
blunt: blanco, revolver, fluir, llaga, trampa
heavy: meter, animal, eso, placer, no
beautiful: ayer, once, eso, idea, bigote
hot: ayer, eso, meter, asta, pie
warm: red, ayer, once, meter, animal
cold: red, animal, placer, meter, eso
cool: ayer, animal, idea, meter, red
fresh: ayer, eso, oca, once, idea
damp: doler, diente, dios, dolor, dormir
wet: hilo, ganas, hongo, hurtar, bello
dry: red, placer, meter, animal, ayer
full: final, no, meter, animal, red
empty: final, meter, cola, oca, idea
open: final, idea, error, eso, meter
closed: meter, eso, once, ayer, oca
clean: idea, meter, oca, cola, no
dirty: ayer, rey, bigote, red, animal
raw: animal, meter, ayer, red, oca
ripe: oca, eso, pie, asta, cola
delicious: delgado, delicado, delante de, caliente, adelante
sweet: ayer, rey, red, bigote, animal
bitter: bello, baya, bajar, bajo, boca
sour: sauce, saber, sopa, silla, siete
bright: red, ayer, meter, animal, asta
dark: red, animal, grave, ayer, meter
black: red, redondo, ayer, bigote, animal
white: red, redondo, pie, grave, bigote
red: red, redondo, ayer, rey, asta
yellow: red, redondo, ayer, multicolor, bigote
blue: red, redondo, pie, asta, bigote
green: red, redondo, oca, asta, ayer
grey: red, redondo, rey, ayer, bigote
colourful: multicolor, fabricar, bigote, animal, redondo
cheap: ayer, asta, idea, onda, eso
dear: de nuevo, dejar, de repente, decrecer, destruir
precious: precioso, oscuro, multicolor, encolar, decir
blind: ayer, animal, eso, meter, once
deaf: de nuevo, dejar, decrecer, irse, de repente
powerful: meter, muchacho, idea, multicolor, revolver
strong: eso, meter, no, ayer, once
weak: meter, eso, no, animal, once
slim: revolver, fluir, multicolor, zorro, prado
pretty: ayer, once, idea, red, pie
evil: ayer, eso, irse, animal, once
stupid: revolver, madurar, jefe, zorro, bigote
lazy: final, idea, todo, pie, meter
diligent: diligente, doler, deteriorar, diente, dormir
stingy: revolver, menear, jactarse, hurtar, bigote
clever: irse, prometer, menear, ayer, robar
skilful: menear, hornear, rebullir, jactarse, silbar
merry: madera, morder, mecer, manta, muelle
gentle: menear, muchacho, ayer, herida, hornear
hungry: bigote, maduro, madurar, revolver, padres
sick: sauce, sopa, saber, silla, sombra
naked: nudo, nadar, nido, nube, nacer
sad: ayer, madurar, irse, once, eso
living: animal, once, ayer, eso, irse
good: eso, ayer, once, no, animal
bad: ayer, no, meter, animal, irse
correct: correcto, meter, no, final, idea
nasty: nadar, nudo, nido, nube, nacer
true: once, grave, eso, oca, idea
old: ayer, oca, eso, irse, once
new: final, idea, ayer, eso, oca
former: eso, once, ayer, oca, irse
aged: ayer, once, eso, oler, animal
young: ayer, eso, once, rey, irse
poor: pozo, oca, maestro, gota, no
rich: ayer, irse, rey, oler, eso
familiar: fresco, foso, fregar, fuego, fino
famous: fresco, fuego, foso, fino, fregar
foreign: animal, oca, eso, no, ayer
different: eso, meter, idea, once, no
near: once, ayer, eso, irse, imagen
far: dar, asar, mar, regar, atar
left: once, meter, oca, final, no
right: meter, once, idea, ayer, no
other: eso, once, no, idea, meter
first: final, no, once, oca, idea
second: final, eso, no, once, meter
third: eso, meter, final, ayer, once
last: final, once, no, ayer, eso
alone: once, ayer, eso, irse, oca
at once: orilla, andar, once, toalla, atrapar
together: toalla, once, orilla, noticia, sentido
suddenly: sauce, sopa, silla, saber, sombra
instantly: muchacho, muchacha, once, justo, noticia
later: once, oler, ayer, verter, eso
now: once, ayer, eso, irse, meter
today: once, ayer, oca, irse, eso
tomorrow: tomar, menear, rogar, cesar, ayer
soon: once, ayer, eso, oler, irse
then: once, eso, andar, oler, orilla
yesterday: y, yacer, once, ahora, ayer
once: once, eso, ave, ayer, irse
at that time: orilla, andar, once, a causa de, a través de
afterwards: once, orilla, andar, sentarse, toalla
before: once, no, final, meter, idea
at first: orilla, andar, once, allí, atrapar
sometimes: once, eso, idea, ayer, no
often: once, eso, orilla, notar, andar
always: once, eso, noticia, notar, ayer
never: once, eso, noticia, notar, ayer
here: once, ayer, eso, irse, oca
hither: hilo, hongo, hambre, hoy, hurtar
hence: haz, heno, hongo, hoy, hijo
there: once, eso, ave, irse, ayer
thither: ayer, jactarse, sentarse, oler, llover
ahead: once, ayer, meter, eso, idea
forward: meter, once, no, oca, ayer
backward: eso, oca, abajo, o, irse
below: once, eso, ayer, meter, verter
down: meter, once, ayer, eso, irse
above: once, idea, meter, oca, eso
up: meter, ayer, irse, once, asar
everywhere: once, muchacho, allí, ayer, idea
not: notar, noticia, once, eso, no
a little: a solo, a veces, aún, a menudo, a causa de
hardly: muchacho, once, muchacha, menear, notar
very: once, eso, ayer, muchacha, muchacho
so: soporte, once, soportar, eso, no
still: once, eso, ayer, muchacho, noticia
only: once, eso, ayer, notar, noticia
already: once, eso, noticia, notar, justo
again: once, ayer, eso, verter, irse
in vain: orilla, allí, andar, once, invierno
in front of: orilla, allí, a través de, andar, toalla
behind: hurtar, ayer, once, menear, sentir
under: once, ayer, eso, meter, irse
through: once, eso, idea, ayer, orilla
next to: orilla, toalla, allí, once, sentido
between: once, eso, no, orilla, idea
because of: once, orilla, andar, toalla, eso
this: once, idea, oca, ayer, eso
that: once, eso, andar, ayer, orilla
everything: once, ayer, eso, idea, irse
I: y, eso, ave, once, mar
you: once, eso, ayer, notar, irse
thou: ayer, menear, yacer, zorro, irse
he: once, irse, eso, orilla, ave
we: once, eso, ave, irse, oca
they: once, eso, notar, ayer, irse
what: once, eso, ayer, idea, meter
who: once, eso, oca, rico, asta
where: once, eso, vara, ayer, idea
where ... to: orilla, andar, toalla, allí, a causa de
how: once, eso, idea, ayer, no
why: once, eso, idea, ayer, no
how much: once, andar, muchacho, orilla, eso
one: once, oca, idea, pie, eso
two: no, eso, once, oca, idea
three: oca, eso, once, idea, no
four: eso, meter, once, ayer, oca
five: once, oca, eso, idea, pie
six: eso, once, ayer, meter, irse
seven: eso, once, ayer, tenedor, meter
eight: eso, once, ayer, meter, tenedor
nine: eso, once, pie, oca, irse
ten: tenedor, irse, ayer, eso, meter
eleven: irse, tenedor, ayer, llaga, eso
twelve: zorro, multicolor, irse, tenedor, llaga
twenty: eso, tenedor, ayer, meter, rey
thirty: zorro, ayer, sesenta, yacer, irse
forty: tenedor, bigote, tomar, ayer, maduro
fifty: fresco, fuego, foso, fino, frente
sixty: tenedor, noventa, sesenta, multicolor, eso
seventy: seis, señal, septiembre, seco, separarse
eighty: tenedor, noventa, sesenta, multicolor, muchacho
ninety: sesenta, irse, ayer, junio, zorro
a hundred: a solo, a veces, aún, a menudo, año
a thousand: a solo, a veces, aún, a menudo, año
and: andar, once, orilla, eso, oler
or: orilla, once, andar, eso, oler
stand: eso, ayer, meter, once, irse
sit: sitio, oler, ayer, irse, eso
hang: ayer, meter, eso, irse, once
become: once, noticia, muchacho, muchacha, eso
happen: hilo, haz, hambre, heno, hongo
begin: todo, idea, error, final, vara
change: idea, oca, meter, no, once
rise: oca, idea, irse, asta, ayer
set: seta, setenta, final, error, todo
shine: irse, ayer, oca, asta, raya
blow: blanco, revolver, fluir, hornear, llover
stream: meter, ayer, oca, idea, once
flow: meter, pie, eso, verter, ayer
revolve: revolver, tapadera, prometer, padres, menear
sway: prometer, zorro, revolver, oscuro, padres
swing: meter, ayer, eso, pie, revolver
fall: animal, oca, ayer, red, eso
burn: ayer, once, irse, eso, meter
freeze: pie, cola, meter, oca, idea
thaw: ayer, zorro, humear, jactarse, irse
melt: manta, morder, madera, mecer, mango
boil: rojo, bolso, robar, irse, pecho
rot: ayer, verter, meter, oler, irse
decay: meter, verter, ayer, animal, eso
snap: meter, ayer, oca, pie, irse
sink: meter, ayer, eso, pie, placer
pass: meter, ayer, once, eso, oca
appear: once, eso, meter, ayer, verter
disappear: discurso, disparar, disminuir, reptar, menear
decrease: de nuevo, dejar, decrecer, destruir, de repente
increase: idea, once, meter, no, eso
grow: once, ayer, eso, irse, meter
sparkle: revolver, tapadera, oscuro, ascender, tronco
be noisy: beber, once, muchacho, mentira, muchacha
chime: chico, chispa, chica, chispear, zorro
tinkle: tumba, taza, toser, tintinear, tapa
roar: robar, rojo, zorro, rogar, irse
rustle: revolver, tapadera, oscuro, bigote, muchacho
howl: muchacho, once, ayer, menear, eso
whistle: menear, zorro, irse, hornear, revolver
shout: jactarse, zorro, ganas, menear, ayer
