eye: face, altitude, gota, animal, ovo
cow: animal, rir, face, meter, tom
bull: rir, animal, anel, meter, tom
horse: animal, altitude, face, grave, meter
sheep: fatia, menino, raposa, bigode, menina
pig: animal, meter, face, rir, gota
dog: animal, face, altitude, meter, tom
cat: animal, face, altitude, meter, rir
bear: animal, face, grave, rir, meter
squirrel: sopa, saber, saca, sair, solo
elk: apelidar, azul, ovelha, colina, delgado
fox: animal, rir, revolver, rico, tom
hare: meter, rir, gota, face, altitude
mouse: animal, face, altitude, meter, grave
wolf: animal, rico, tom, meter, rir
bird: animal, altitude, face, grave, meter
swarm: ardor, revolver, prometer, regato, agora
chicken: chaga, chapa, chefe, chifre, chamar
cock: tom, rir, meter, face, anel
goose: bigode, outono, fatia, tronco, raposa
eagle: e, eles, asa, gordo, altitude
duck: animal, bigode, meter, face, revolver
owl: animal, rir, face, altitude, bigode
crane: cravo, crer, prado, brando, branco
crow: rir, meter, animal, tom, rico
cuckoo: cinto, caverna, cova, cruz, cogumelo
swan: revolver, ardor, ganso, raposa, bigode
fish: animal, altitude, face, meter, fatia
perch: perca, perna, perder, permanecer, revolver
pike: todo, gota, asa, marca, meter
snake: animal, face, altitude, grave, meter
worm: animal, meter, face, altitude, rir
spider: revolver, gordo, maxila, raposa, gordura
ant: antigo, antigamente, rir, atar, mel
louse: largo, lugar, laje, luz, liso
midge: mestre, mole, morder, manga, morte
fly: meter, animal, rir, face, altitude
butterfly: bando, bordo, barriga, bengala, bater
berry: ovo, rico, gota, altitude, animal
apple: ovo, face, altitude, meter, rico
mushroom: mestre, mole, morder, morrer, manga
onion: onze, areia, ardor, fatia, meter
seed: animal, altitude, face, meter, ovo
grain: gritar, grito, grande, gralha, grão
hay: anel, tom, rir, ler, antes
husk: ardor, cessar, rir, vestir, rapaz
pit: meter, rir, mel, sol, tom
trap: meter, face, rir, erro, atar
noose: noite, noventa, doze, afiado, bigode
track: meter, face, altitude, animal, rir
ashes: rir, rico, gota, ardor, meter
filth: filho, filha, rapaz, revolver, ardor
iron: animal, odor, meter, altitude, face
gold: animal, meter, altitude, face, odor
silver: redondo, meter, animal, bigode, altitude
coal: animal, odor, sol, altitude, meter
glass: meter, animal, face, altitude, redondo
clay: ardor, argila, fluir, cravo, fatia
sand: meter, animal, odor, face, grave
human: animal, altitude, face, meter, gota
man: rir, manhã, menino, atar, meter
woman: menino, menina, animal, face, altitude
child: animal, face, altitude, grave, meter
boy: rir, animal, face, tom, menino
girl: animal, face, menino, menina, rir
family: animal, altitude, logo, face, rico
grandfather: bigode, maduro, fatia, robusto, redondo
grandmother: bigode, fatia, maduro, redondo, robusto
parents: altitude, menino, face, asa, logo
father: rico, tom, face, anel, gota
mother: rico, gota, tom, animal, face
son: sonho, ler, rir, anel, antes
daughter: rir, gota, rico, erva, meter
brother: revolver, robusto, bigode, rosto, ardor
sister: saca, saber, sopa, sair, solo
uncle: bigode, fatia, robusto, maduro, revolver
aunt: aonde, aqui, aumentar, fatia, erva
husband: ardor, mentira, cessar, rir, ralhar
wife: rico, gota, grave, erva, face
joy: tom, rir, rico, anel, ardor
laughter: altitude, animal, face, meter, rir
happiness: gordo, bando, gata, juntos, fresco
grief: gordo, gata, grosso, gola, gosto
wish: rir, meter, face, soar, ardor
desire: despir, despertar, desistir, desgosto, despido
spirit: altitude, animal, meter, face, rir
thought: face, meter, altitude, animal, rir
memory: altitude, face, meter, animal, memória
mind: face, meter, rir, altitude, animal
meaning: meter, face, soar, altitude, mentira
reason: meter, mentira, rir, soar, face
truth: rir, face, altitude, meter, ardor
talk: face, altitude, meter, animal, rir
fairy tale: fresco, famoso, fumo, frio, fogo
story: logo, face, meter, altitude, animal
message: todo, mensagem, face, final, erro
news: logo, asa, via, altitude, ovo
name: face, cidade, todo, logo, nome
puzzle: pista, povo, piso, pico, poder
speech: altitude, face, meter, animal, odor
language: altitude, face, todo, animal, meter
voice: face, altitude, meter, animal, asa
word: face, meter, animal, altitude, final
sign: significado, meter, face, vara, altitude
call: meter, final, face, vara, todo
noise: altitude, odor, face, meter, grave
sound: meter, altitude, face, animal, odor
tone: face, altitude, meter, ave, grave
song: meter, face, rir, outro, altitude
calm: calma, caldo, calcanhar, caldeira, calça
people: altitude, face, meter, menino, animal
nation: altitude, meter, face, rir, gota
work: meter, face, altitude, animal, outro
guest: altitude, gota, animal, asa, face
gift: face, meter, altitude, animal, logo
game: todo, altitude, face, marca, meter
company: logo, altitude, marca, asa, meter
help: logo, meter, face, altitude, todo
friend: face, meter, rir, atar, rico
companion: comover, comer, comida, comprar, comprido
matter: meter, face, altitude, odor, rir
count: meter, correcto, face, erro, conto
sort: meter, face, vara, final, todo
piece: meter, face, altitude, logo, panela
part: parte, partir, participar, meter, face
half: meter, face, tom, animal, altitude
circle: face, meter, altitude, logo, animal
cross: face, altitude, meter, animal, grave
line: face, meter, altitude, grave, todo
stroke: altitude, face, animal, meter, grave
gap: meter, altitude, face, asa, gota
distance: altitude, meter, face, logo, vara
area: altitude, asa, gota, vara, meter
space: altitude, face, logo, meter, grave
place: face, logo, meter, altitude, vara
side: face, altitude, meter, grave, gota
middle: meter, altitude, face, logo, gota
item: logo, meter, todo, face, final
thing: meter, rir, face, ler, soar
fringe: brando, branco, cravo, prado, prato
edge: face, altitude, meter, gota, onda
corner: meter, altitude, face, animal, panela
tip: meter, face, rir, altitude, cem
end: meter, face, animal, altitude, final
hole: meter, face, altitude, grave, animal
angle: altitude, meter, face, animal, logo
pattern: face, altitude, meter, colorido, todo
size: altitude, face, meter, logo, todo
length: meter, altitude, face, correcto, vara
height: altitude, meter, face, final, correcto
weight: altitude, face, meter, animal, final
amount: meter, altitude, face, correcto, vara
heap: meter, todo, altitude, face, erro
row: meter, face, altitude, erro, rir
boat: altitude, animal, meter, face, caro
oar: oeste, oito, bordo, bando, afiado
sleigh: saber, saca, sopa, solo, sair
ski: rei, gota, ali, asa, erva
campfire: bigode, robusto, raposa, madeira, bonito
load: final, todo, seta, meter, face
walk: face, meter, altitude, rir, logo
step: meter, face, altitude, rir, erro
north: tom, gota, redondo, rico, altitude
south: tom, rico, redondo, gota, asa
west: tom, rico, asa, gota, anel
east: tom, gota, rico, asa, erva
wood: animal, meter, altitude, face, redondo
board: meter, face, altitude, todo, panela
slab: revolver, fluir, prado, cobrir, plano
bracket: brando, bramar, branco, brigar, brincar
pole: meter, altitude, face, grave, gota
stick: face, meter, animal, altitude, grave
staff: altitude, meter, animal, asa, face
pipe: face, meter, altitude, panela, grave
house: face, grave, altitude, animal, meter
home: logo, altitude, asa, marca, animal
stove: robusto, bigode, geada, barrete, revolver
floor: face, meter, altitude, panela, animal
table: face, meter, altitude, todo, panela
chair: meter, face, altitude, animal, rir
cradle: cravo, crer, prado, prato, gritar
bed: meter, face, rir, anel, altitude
shelf: meter, face, altitude, animal, panela
box: meter, face, altitude, panela, formiga
window: todo, face, colo, altitude, conto
door: meter, face, altitude, grave, gota
gate: meter, face, altitude, grave, gota
fence: fresco, fome, frio, fumo, fita
roof: altitude, meter, face, animal, grave
ladder: largo, lugar, luz, laje, lamber
broom: bordo, bando, bom, bater, borda
spade: prado, gordo, maxila, tronco, regato
shovel: revolver, ardor, rir, fatia, tossir
fork: meter, face, altitude, rir, revolver
spoon: revolver, gordo, prado, ardor, ganso
knife: face, altitude, meter, grave, ovo
net: meter, sol, altitude, ir, face
hook: face, todo, meter, altitude, final
handle: face, meter, todo, erro, final
lock: meter, face, logo, via, rir
picture: logo, face, meter, via, altitude
figure: face, figura, altitude, meter, todo
doll: rir, animal, anel, face, meter
pouch: pista, povo, poder, piso, pau
bundle: todo, face, meter, altitude, final
bag: meter, rir, face, ler, animal
bucket: meter, face, altitude, animal, panela
cover: logo, via, face, meter, rir
dishes: dizer, dano, dente, dor, dormir
sack: saca, sopa, saber, sair, sombra
cup: meter, face, rir, altitude, ovo
pot: potência, rir, meter, tom, sol
kettle: gordo, bando, bordo, gola, gata
meal: altitude, face, meter, animal, ovo
food: animal, altitude, face, meter, ovo
dish: meter, face, ovo, rir, altitude
meat: fatia, meio, boneca, barato, peito
corn: animal, ovo, fatia, meter, odor
mush: morder, mestre, mole, morrer, manga
bread: altitude, ovo, animal, meter, face
slice: face, meter, altitude, todo, ovo
fat: fatia, animal, face, meter, altitude
butter: bando, bater, bordo, bom, borda
oil: animal, odor, altitude, face, meter
salt: saltar, altitude, meter, odor, face
soup: ovo, rico, altitude, animal, gota
honey: gordo, gata, bando, bordo, mestre
milk: mole, mestre, manga, morder, matar
tea: gota, asa, erva, ovo, altitude
leather: leste, leite, levar, lebre, letra
wool: garfo, fatia, doze, barato, bolso
cloth: animal, meter, face, altitude, grave
needle: face, meter, altitude, animal, grave
thread: face, meter, altitude, todo, final
button: logo, face, botão, todo, meter
knot: gordo, tossir, gata, ardor, dizer
paint: meter, face, altitude, animal, colorido
clothes: barato, barrete, couro, outono, revolver
shirt: face, meter, altitude, animal, logo
collar: colar, colina, colher, barrete, vestir
sleeve: saca, sopa, sombra, saber, sombrio
trousers: tricotar, triste, trazer, vestir, trilho
belt: meter, altitude, face, animal, gota
cap: meter, rir, sol, cem, face
shoe: fatia, bigode, rir, revolver, barato
boot: meter, face, altitude, rir, revolver
ring: meter, face, altitude, animal, rir
ribbon: meter, face, altitude, panela, logo
comb: combate, meter, face, rir, sol
mirror: meter, face, altitude, panela, animal
strap: meter, face, rir, altitude, revolver
string: vara, final, meter, todo, correcto
leash: leite, leste, levar, lebre, letra
blanket: bigode, redondo, outono, logo, barrete
pillow: revolver, bigode, fatia, panela, pinheiro
scarf: barrete, ardor, fatia, raposa, barato
towel: tampa, tia, tio, tacho, touro
force: meter, altitude, face, gota, erro
strength: altitude, meter, face, mentira, animal
health: altitude, animal, meter, face, asa
illness: mentira, ardor, notícia, sentir, cessar
pain: odor, altitude, animal, face, meter
wound: fresco, bordo, gordo, borda, altitude
fever: febre, fechar, fechado, cego, ferver
medicine: altitude, face, animal, meter, asa
bridge: altitude, meter, face, asa, gota
well: soar, meter, ave, um, face
pasture: pastagem, animal, madeira, areia, raposa
path: meter, face, altitude, todo, erro
way: meter, rir, soar, face, ler
road: altitude, animal, face, meter, grave
village: vender, vaca, vazio, viver, vinte
town: altitude, logo, meter, rico, gota
letter: face, meter, logo, final, animal
book: logo, face, meter, animal, altitude
character: face, meter, altitude, animal, final
newspaper: bigode, revolver, outro, novidade, raposa
life: altitude, face, grave, gota, asa
death: animal, grave, altitude, face, meter
grave: grave, face, altitude, gota, ave
church: altitude, grave, animal, face, asa
sin: rir, vara, sol, meter, regar
god: rir, tom, anel, atar, ardor
worker: face, todo, altitude, meter, animal
boss: rico, meter, rir, ovo, revolver
master: meter, face, asa, gota, rico
doctor: rico, tom, face, rir, asa
teacher: animal, altitude, rico, face, asa
money: altitude, face, meter, animal, logo
business: altitude, asa, animal, meter, logo
shop: logo, meter, marca, erva, altitude
price: altitude, face, marca, meter, logo
ware: meter, rir, ler, ave, anel
profit: altitude, meter, face, rir, costurar
wealth: altitude, animal, rir, face, meter
world: altitude, animal, face, meter, ovo
country: altitude, animal, meter, face, outono
state: altitude, face, meter, asa, animal
king: tom, bigode, rico, fatia, anel
power: meter, altitude, face, animal, odor
border: altitude, face, meter, animal, logo
war: dar, lar, atar, rir, mar
enemy: altitude, face, meter, animal, gota
violence: violência, mentira, ardor, sentir, aquilo
fight: face, meter, animal, rir, altitude
bow: meter, face, rir, revolver, tom
arrow: logo, face, altitude, meter, via
gun: animal, rir, meter, revolver, face
mistake: mentira, ardor, soar, revolver, prometer
lie: ave, meter, face, ler, grave
damage: altitude, face, meter, odor, gota
misfortune: mentira, ardor, risada, danificar, nascer
fault: altitude, meter, face, odor, grave
age: altitude, face, meter, ave, grave
conclusion: congelar, consertar, conversação, convidado, conversar
time: altitude, face, meter, grave, todo
day: meter, face, altitude, rir, animal
morning: morar, ardor, fatia, maduro, ralhar
noon: rir, meter, ovo, onda, rico
evening: areia, soar, outro, outono, madeira
night: animal, altitude, grave, meter, face
week: altitude, meter, face, rir, logo
month: meter, altitude, cidade, face, final
year: meter, altitude, face, rir, logo
spring: face, altitude, meter, animal, todo
summer: altitude, animal, rico, ovo, gota
autumn: outono, ardor, revolver, fatia, aquilo
winter: animal, altitude, grave, redondo, gota
January: Julho, Novembro, Março, Setembro, Janeiro
February: Julho, Novembro, Março, Setembro, Agosto
March: Julho, Março, Novembro, Setembro, Agosto
April: Julho, Março, Novembro, Janeiro, Setembro
May: Novembro, Março, via, Agosto, mar
June: Julho, Janeiro, Março, Novembro, Setembro
July: Julho, Novembro, Março, Setembro, Agosto
August: Julho, Novembro, Março, Janeiro, Agosto
September: Julho, Novembro, Setembro, Março, Agosto
October: Julho, Novembro, Março, Setembro, Agosto
November: Novembro, Julho, Março, Setembro, Agosto
December: Julho, Novembro, Março, Setembro, Agosto
Monday: via, Novembro, Setembro, altitude, Março
Tuesday: via, Novembro, Setembro, Janeiro, logo
Wednesday: via, Novembro, Setembro, Janeiro, Março
Thursday: via, Novembro, Setembro, Março, altitude
Friday: via, Setembro, Janeiro, Novembro, Julho
Saturday: via, Novembro, Setembro, Janeiro, altitude
Sunday: via, Setembro, Novembro, Julho, Janeiro
big: bigode, tom, meter, fatia, animal
little: bigode, animal, tom, altitude, grave
long: meter, face, altitude, rir, tom
short: meter, altitude, animal, face, final
wide: altitude, face, meter, grave, onda
narrow: ninho, nadar, norte, novo, nunca
dense: altitude, face, meter, animal, grave
thick: fatia, ardor, rir, bigode, ferver
thin: meter, face, altitude, ovo, onda
delicate: delgado, delicioso, calma, ovelha, areia
firm: meter, rir, face, onda, erva
flat: meter, face, altitude, animal, final
smooth: face, meter, altitude, animal, bigode
hard: meter, face, animal, altitude, grave
soft: meter, face, animal, altitude, ovo
round: face, meter, altitude, redondo, animal
pointed: meter, maxila, face, outro, sentido
sharp: meter, altitude, onda, gota, ovo
blunt: revolver, fluir, brando, gordo, gralha
heavy: meter, altitude, animal, face, grave
beautiful: areia, madeira, bigode, animal, via
hot: meter, ovo, gota, bigode, fatia
warm: face, meter, tom, animal, altitude
cold: animal, altitude, face, odor, meter
cool: bigode, animal, meter, rir, face
fresh: ovo, animal, madeira, bigode, meter
damp: dizer, dano, dor, dente, dormir
wet: gordo, bando, bordo, tampa, gata
dry: meter, face, animal, altitude, grave
full: final, face, meter, logo, animal
empty: final, face, meter, altitude, logo
open: final, meter, todo, face, via
closed: meter, altitude, logo, face, animal
clean: face, meter, altitude, ovo, todo
dirty: bigode, animal, fatia, meter, maduro
raw: animal, face, meter, final, ovo
ripe: altitude, ovo, meter, asa, gota
delicious: delicioso, delgado, ovelha, calma, bigode
sweet: fatia, bigode, tom, animal, ovo
bitter: bando, bater, bordo, bom, borda
sour: saber, sair, sopa, saca, solo
bright: meter, altitude, animal, bigode, redondo
dark: animal, grave, face, meter, altitude
black: redondo, bigode, animal, face, meter
white: redondo, grave, face, madeira, altitude
red: redondo, tom, meter, rede, bigode
yellow: redondo, bigode, animal, altitude, meter
blue: redondo, altitude, bigode, face, logo
green: redondo, altitude, meter, animal, ovo
grey: redondo, meter, bigode, face, rico
colourful: colorido, colorir, bigode, panela, animal
cheap: onda, barato, altitude, areia, ovo
dear: deus, deitar, de vez, debaixo, de repente
precious: precioso, fatia, encosta, pecado, prudente
blind: animal, meter, face, altitude, grave
deaf: deus, deitar, de vez, debaixo, rede
powerful: meter, altitude, areia, face, bigode
strong: meter, altitude, face, logo, animal
weak: meter, altitude, face, animal, final
slim: revolver, fluir, bigode, prado, fatia
pretty: face, animal, meter, ovo, bigode
evil: rir, animal, maduro, revolver, gota
stupid: bigode, revolver, ardor, fatia, maduro
lazy: final, todo, face, meter, altitude
diligent: diligente, dizer, dano, dormir, diferente
stingy: fatia, revolver, bigode, ardor, rapaz
clever: ardor, eleger, prometer, ralhar, bigode
skilful: ardor, ralhar, rapaz, talhar, prudente
merry: mestre, morder, manga, mundo, mole
gentle: ardor, fatia, sentido, areia, mentira
hungry: bigode, fatia, maduro, revolver, rapaz
sick: sopa, saca, saber, sair, sombra
naked: ninho, nadar, nunca, nós, norte
sad: rir, maduro, tom, atar, grave
living: animal, altitude, face, meter, grave
good: animal, meter, altitude, face, rir
bad: meter, animal, rir, maduro, bigode
correct: correcto, meter, face, final, altitude
nasty: ninho, nadar, nunca, novo, nós
true: altitude, face, grave, meter, animal
old: bigode, logo, meter, tom, asa
new: final, via, logo, meter, altitude
former: via, logo, erva, onda, asa
aged: animal, rir, altitude, ovo, areia
young: tom, rico, animal, anel, asa
poor: poço, fatia, doze, joelho, gota
rich: tom, rir, rico, anel, bigode
familiar: fresco, fumo, fita, fome, faca
famous: fresco, fumo, fita, frio, fome
foreign: animal, altitude, asa, meter, ovo
different: meter, animal, altitude, face, final
near: logo, via, meter, altitude, erva
far: dar, lar, mar, regar, atar
left: logo, face, meter, altitude, final
right: face, meter, altitude, logo, correcto
other: altitude, meter, animal, via, logo
first: final, face, logo, altitude, meter
second: final, meter, altitude, animal, face
third: meter, final, altitude, animal, logo
last: final, meter, logo, animal, face
alone: altitude, face, soar, gota, ave
at once: andar, notícia, areia, via, oriente
together: soar, areia, toalha, notícia, proveito
suddenly: sopa, saca, saber, sair, sombra
instantly: areia, justo, isso, notícia, madeira
later: mentira, ler, meter, lar, anel
now: soar, meter, rir, isso, ave
today: rico, soar, erva, rir, meter
tomorrow: tom, tomar, robusto, danificar, ardor
soon: soar, rir, notar, ler, ave
then: andar, via, soar, notar, rir
yesterday: soar, isso, mentira, rir, tio
once: ave, soar, areia, isso, notar
at that time: andar, areia, soar, força, oferecer
afterwards: areia, notícia, andar, soar, força
before: face, final, meter, logo, altitude
at first: via, andar, notícia, areia, soar
sometimes: via, soar, ave, notar, notícia
often: notícia, notar, andar, areia, via
always: notar, notícia, justo, soar, isso
never: notícia, notar, justo, tom, ave
here: ave, soar, meter, rir, vara
hither: dizer, bando, gata, gordo, bater
hence: tio, soar, dizer, gata, bando
there: ave, altitude, grave, rede, meter
thither: ardor, rir, soar, rir-se, aquilo
ahead: meter, altitude, face, soar, rir
forward: meter, altitude, face, final, correcto
backward: logo, via, erva, asa, gota
below: meter, altitude, via, logo, onda
down: meter, face, altitude, outro, outono
above: altitude, face, meter, logo, via
up: meter, rir, altitude, um, face
everywhere: soar, areia, isso, doze, outro
not: notar, notícia, isso, ave, rir
a little: aonde, aqui, aumentar, areia, via
hardly: areia, ardor, notar, notícia, soar
very: soar, areia, notícia, via, ave
so: soar, via, ave, isso, rico
still: notícia, face, notar, meter, soar
only: notícia, notar, rir, meter, via
already: notícia, notar, justo, isso, ave
again: soar, notar, rir, meter, mentira
in vain: inimigo, inverno, via, incomodar, andar
in front of: inverno, força, inimigo, areia, andar
behind: soar, ardor, sentir, rir, areia
under: via, meter, face, altitude, logo
through: via, onze, força, areia, andar
next to: via, notícia, onze, areia, logo
between: via, força, onze, areia, meter
because of: via, andar, areia, força, soar
this: final, meter, face, altitude, asa
that: via, andar, soar, areia, notícia
everything: soar, meter, altitude, rir, areia
I: ou, ave, mar, ele, dar
you: ou, notar, ave, soar, rir
thou: rir, ardor, rir-se, aquilo, soar
he: via, ave, rir, onda, oriente
we: ou, ave, onda, e, rede
they: ou, notar, ave, rir, notícia
what: meter, via, onda, areia, animal
who: rico, erva, gota, ovo, onda
where: vara, proveito, via, soar, ave
where ... to: andar, proveito, soar, força, areia
how: soar, via, areia, meter, isso
why: via, areia, soar, logo, isso
how much: areia, soar, andar, força, isso
one: face, altitude, ave, meter, gota
two: meter, ovo, altitude, gota, doze
three: altitude, meter, asa, logo, face
four: meter, animal, altitude, rir, face
five: altitude, ave, face, logo, meter
six: meter, rir, animal, altitude, via
seven: meter, altitude, logo, rico, via
eight: meter, altitude, via, logo, rir
nine: altitude, meter, ave, face, grave
ten: rir, meter, ave, anel, gota
eleven: ele, eleger, ardor, outeiro, edificar
twelve: ardor, bigode, rir, doze, revolver
twenty: altitude, meter, rico, asa, logo
thirty: rir, trinta, pastagem, fatia, ardor
forty: forte, robusto, fatia, bigode, tom
fifty: fresco, fumo, fogo, fita, fome
sixty: areia, noventa, bigode, fatia, maduro
seventy: seio, seis, sempre, seco, rir-se
eighty: noventa, areia, fatia, bigode, cento
ninety: ardor, fatia, cinco, rir, aquilo
a hundred: aonde, aqui, noventa, areia, aumentar
a thousand: aonde, aqui, areia, noventa, aumentar
and: andar, via, oriente, notícia, areia
or: oriente, andar, via, lar, notar
stand: meter, face, rir, altitude, erva
sit: rir, ler, meter, atar, anel
hang: meter, rir, face, anel, tom
become: areia, isso, notícia, soar, beber
happen: dizer, soar, tio, bando, bater
begin: todo, final, vara, face, meter
change: face, meter, altitude, vara, logo
rise: altitude, face, ovo, rico, asa
set: seta, sete, setenta, final, todo
shine: face, altitude, rico, soar, ovo
blow: revolver, fluir, brando, ardor, gritar
stream: meter, logo, altitude, face, outro
flow: meter, altitude, face, odor, animal
revolve: revolver, ardor, bigode, prometer, regato
sway: ardor, prometer, revolver, regato, rir
swing: meter, altitude, face, revolver, animal
fall: animal, altitude, face, meter, grave
burn: rir, face, meter, atar, altitude
freeze: face, altitude, meter, todo, ovo
thaw: rir, tossir, ardor, rir-se, pastagem
melt: mole, mestre, morder, manga, mundo
boil: rosto, doze, bando, soar, garfo
rot: rir, ler, meter, anel, atar
decay: altitude, meter, odor, face, animal
snap: meter, face, rir, ovo, altitude
sink: meter, face, altitude, animal, odor
pass: passo, passar, meter, face, rir
appear: soar, meter, sentir, rir, face
disappear: discurso, disparar, outro, ardor, outono
decrease: deus, deitar, de vez, depois, debaixo
increase: altitude, meter, face, logo, proveito
grow: meter, soar, altitude, face, rir
sparkle: revolver, bigode, formiga, ardor, tronco
be noisy: beber, beira, beijar, soar, areia
chime: chefe, chifre, chapa, chamada, chocalhar
tinkle: tia, tio, tampa, tossir, touro
roar: rosto, soar, ardor, garfo, vidro
rustle: revolver, ardor, bigode, formiga, pinheiro
howl: soar, areia, doze, ardor, afiado
whistle: ardor, revolver, rir, gordo, prometer
shout: rir, tossir, ardor, revolver, juntos
groan: rosto, garfo, ardor, soar, gancho
tremble: tardinha, trela, tossir, tendão, tio
be alive: beira, beber, beijar, soar, areia
be born: beira, beber, beijar, areia, notícia
breathe: bando, bordo, bengala, bater, barriga
drink: altitude, meter, face, animal, ovo
eat: altitude, tom, animal, rico, face
swallow: revolver, ardor, raposa, bigode, rapaz
get tired: outro, outono, isso, altitude, sentir
