eye: кость, мир, рана, ходить, и
rainbow: кость, рана, ходить, чай, мир
thunder: кость, рана, мир, ходить, чай
current: кость, рана, есть, мир, дом
drop: кость, есть, рана, ходить, и
foam: кость, рана, чай, мир, ходить
dirt: кость, рана, ходить, мир, есть
lake: кость, ходить, ива, рана, чай
swamp: кость, рана, мир, ходить, ива
moor: кость, рана, мир, ходить, чай
meadow: кость, ходить, рана, мир, чай
forest: кость, мир, рана, ходить, ива
hill: кость, ходить, рана, мир, ива
elevation: кость, рана, ходить, и, мир
mountain: кость, ходить, рана, мир, чай
summit: кость, рана, ходить, мир, чай
cave: кость, рана, ходить, мир, чай
slope: кость, ходить, рана, мир, ряд
source: кость, есть, рана, ряд, ходить
brook: кость, ходить, рана, ива, мир
river: кость, рана, ходить, мир, ива
shore: кость, рана, ходить, мир, ива
coast: кость, рана, ходить, мир, чай
land: кость, рана, ходить, мир, и
sea: кость, рана, ива, ходить, мир
cove: кость, рана, ходить, мир, чай
island: кость, рана, есть, ходить, или
flower: кость, чай, рана, мир, ходить
grass: кость, ходить, рана, чай, мир
root: кость, ряд, рана, есть, дом
tree: кость, рана, мир, ходить, ива
trunk: кость, рана, ходить, мир, дом
bark: кость, рана, ходить, чай, мир
limb: кость, рана, ходить, чай, мир
branch: кость, рана, ходить, мир, есть
leaf: кость, рана, мир, чай, ходить
birch: кость, ходить, рана, чай, мир
pine: кость, ива, рана, ходить, чай
willow: кость, ходить, рана, или, есть
fir: кость, рана, мир, ходить, ива
horn: кость, рана, ходить, мир, и
feather: кость, рана, ходить, чай, мир
fur: кость, рана, ходить, мир, и
wing: кость, рана, мир, ходить, чай
claw: кость, рана, ходить, мир, чай
tail: кость, рана, ходить, есть, мир
egg: кость, рана, чай, ходить, мир
nest: кость, есть, мир, рана, чай
lair: кость, рана, ходить, мир, и
animal: кость, мир, рана, ходить, есть
flock: кость, рана, ходить, мир, чай
cow: кость, рана, мир, ходить, чай
bull: кость, рана, ходить, мир, чай
horse: кость, рана, мир, ходить, ива
sheep: кость, ходить, рана, мир, ива
pig: кость, рана, мир, ходить, чай
dog: кость, рана, ходить, мир, ива
cat: кость, рана, ходить, есть, мир
bear: кость, рана, ходить, мир, ива
squirrel: кость, рана, ходить, мир, ива
elk: кость, рана, ель, ходить, мир
fox: кость, мир, рана, ива, ходить
hare: кость, рана, ходить, ива, мир
mouse: кость, мир, рана, есть, ива
wolf: кость, мир, ива, рана, ходить
bird: кость, рана, мир, ходить, чай
swarm: кость, рана, мир, ходить, есть
chicken: кость, рана, ходить, чай, мир
cock: кость, рана, ходить, мир, чай
goose: кость, ходить, рана, чай, мир
eagle: кость, рана, мир, ходить, и
duck: кость, рана, ходить, мир, чай
owl: кость, рана, мир, чай, ива
crane: кость, рана, ходить, мир, ива
crow: кость, рана, мир, чай, ходить
cuckoo: кость, рана, ходить, мир, чай
swan: кость, рана, мир, ходить, ива
fish: кость, рана, мир, ходить, чай
perch: кость, рана, ходить, мир, чай
pike: кость, мир, рана, ива, есть
snake: кость, рана, ива, мир, ходить
worm: кость, рана, мир, ходить, есть
spider: кость, рана, мир, ива, чай
ant: кость, рана, ходить, мир, и
louse: кость, рана, ходить, мир, и
midge: кость, рана, мир, ходить, ива
fly: кость, рана, мир, ходить, и
butterfly: кость, рана, чай, ходить, мир
berry: кость, чай, рана, ива, мир
apple: кость, чай, есть, мир, рана
mushroom: кость, рана, ходить, чай, мир
onion: кость, рана, есть, или, чай
seed: кость, рана, ходить, чай, мир
grain: кость, рана, ходить, чай, мир
hay: кость, ходить, чай, рана, или
husk: кость, рана, ходить, чай, или
pit: кость, рана, ходить, мир, есть
trap: кость, ходить, есть, рана, мир
noose: кость, рана, ходить, есть, или
track: кость, рана, ходить, есть, мир
ashes: кость, рана, мир, ходить, есть
filth: кость, рана, ходить, мир, чай
iron: кость, ива, рана, ходить, мир
gold: кость, рана, ходить, или, чай
silver: кость, рана, ива, чай, мир
coal: кость, рана, ходить, или, есть
glass: кость, рана, мир, чай, ходить
clay: кость, рана, чай, ходить, мир
sand: кость, рана, ходить, чай, мир
human: кость, рана, мир, есть, и
man: кость, рана, ходить, мир, и
woman: кость, рана, ходить, мир, и
child: кость, рана, мир, ходить, и
boy: кость, рана, мир, ходить, ива
girl: кость, рана, мир, ходить, ива
family: кость, рана, мир, ходить, дом
grandfather: кость, ходить, рана, мир, ива
grandmother: кость, рана, ходить, мир, ива
parents: кость, ходить, рана, мир, есть
father: кость, ходить, рана, мир, ива
mother: кость, рана, ходить, мир, ива
son: кость, сон, рана, ходить, мир
daughter: кость, рана, ходить, мир, и
brother: кость, рана, ходить, или, мир
sister: кость, рана, ходить, мир, и
uncle: кость, рана, ива, ходить, мир
aunt: кость, рана, ива, ходить, есть
husband: кость, ходить, рана, или, и
wife: кость, рана, ходить, есть, мир
joy: кость, ходить, чай, мир, рана
laughter: кость, ходить, рана, мир, есть
happiness: кость, ходить, рана, мир, и
grief: кость, рана, ходить, мир, и
wish: кость, ходить, мир, есть, рана
desire: кость, рана, ходить, и, мир
spirit: кость, мир, рана, ходить, чай
thought: кость, ходить, мир, и, рана
memory: кость, рана, мир, есть, ходить
mind: кость, мир, рана, и, ходить
meaning: кость, ходить, есть, рана, или
reason: кость, ходить, рана, мир, и
truth: кость, мир, рана, ходить, и
talk: кость, мир, рана, ходить, чай
fairy tale: кость, рана, ходить, мир, чай
story: кость, рана, мир, ходить, чай
message: кость, есть, ряд, ходить, лось
news: кость, мир, рана, дом, чай
name: кость, рана, ходить, дом, чай
puzzle: кость, мир, рана, чай, ходить
speech: кость, ходить, рана, мир, есть
language: кость, рана, мир, ходить, есть
voice: кость, ходить, рана, мир, есть
word: кость, рана, мир, ходить, чай
sign: кость, рана, ходить, мир, и
call: кость, есть, рана, ходить, или
noise: кость, ходить, рана, мир, чай
sound: кость, мир, ходить, рана, есть
tone: кость, ходить, рана, мир, есть
song: кость, рана, ходить, мир, чай
calm: кость, рана, ходить, мир, чай
people: кость, ходить, рана, мир, и
nation: кость, мир, рана, ходить, дом
work: кость, ходить, рана, мир, есть
guest: кость, рана, мир, ходить, ива
gift: кость, рана, ходить, чай, мир
game: кость, мир, есть, рана, чай
company: кость, рана, ходить, и, дом
help: кость, есть, ходить, или, рана
friend: кость, ходить, рана, мир, есть
companion: кость, мир, дом, ходить, рана
matter: кость, ходить, мир, рана, лось
count: кость, рана, есть, ходить, и
sort: кость, ходить, рана, есть, ряд
piece: кость, ходить, рана, чай, мир
part: кость, рана, ходить, есть, и
half: кость, ходить, рана, мир, ива
circle: кость, рана, ходить, мир, чай
cross: кость, рана, ходить, мир, и
line: кость, рана, ряд, ходить, чай
stroke: кость, ходить, рана, мир, есть
gap: кость, рана, ходить, мир, есть
distance: кость, рана, ходить, есть, мир
area: кость, рана, ходить, ива, мир
space: кость, рана, мир, ходить, чай
place: кость, рана, ходить, чай, дом
side: кость, ходить, рана, есть, ива
middle: кость, рана, ходить, мир, есть
item: кость, рана, чай, дом, мир
thing: кость, ходить, мир, рана, и
fringe: кость, рана, ходить, мир, чай
edge: кость, рана, мир, есть, ходить
corner: кость, ходить, рана, мир, есть
tip: кость, рана, чай, ходить, мир
end: кость, рана, ходить, есть, мир
hole: кость, рана, ходить, мир, и
angle: кость, ряд, рана, ходить, чай
pattern: кость, ходить, рана, ряд, есть
size: кость, рана, ряд, есть, нож
length: кость, рана, ходить, ряд, лось
height: кость, рана, ряд, ходить, есть
weight: кость, рана, ходить, есть, ряд
amount: кость, рана, ходить, есть, и
heap: кость, рана, ряд, ходить, есть
row: кость, ряд, рана, ходить, чай
boat: кость, рана, мир, ходить, чай
oar: кость, рана, или, ходить, и
sleigh: кость, рана, ходить, мир, и
ski: кость, ходить, рана, и, мир
campfire: кость, ходить, рана, чай, мир
load: есть, кость, ряд, ход, нож
walk: кость, ходить, рана, мир, чай
step: кость, ходить, рана, ряд, есть
north: кость, ходить, рана, мир, ива
south: кость, ходить, рана, мир, ива
west: кость, ива, мир, ходить, рана
east: кость, ходить, рана, мир, ива
wood: кость, ходить, рана, мир, есть
board: кость, рана, мир, ряд, ходить
slab: кость, рана, ходить, мир, чай
bracket: кость, рана, ходить, мир, и
pole: кость, рана, ходить, мир, или
stick: кость, рана, мир, ходить, чай
staff: кость, рана, мир, ходить, и
pipe: кость, рана, ходить, чай, ива
house: кость, дом, рана, ходить, мир
home: кость, дом, рана, мир, чай
stove: кость, ходить, рана, ива, стая
floor: кость, рана, ходить, мир, ива
table: кость, чай, ряд, ива, рана
chair: кость, рана, ходить, мир, чай
cradle: кость, рана, ходить, мир, ива
bed: кость, ходить, мир, рана, чай
shelf: кость, рана, мир, ходить, есть
box: кость, мир, рана, чай, ива
window: кость, лось, есть, ряд, мы
door: кость, рана, ходить, мир, или
gate: кость, рана, ходить, мир, есть
fence: кость, рана, ходить, мир, и
roof: кость, рана, ходить, мир, ива
ladder: кость, рана, ходить, мир, и
broom: кость, рана, ходить, мир, чай
spade: кость, рана, чай, мир, ива
shovel: кость, рана, ходить, мир, чай
fork: кость, рана, есть, ходить, мир
spoon: кость, рана, чай, мир, ходить
knife: кость, нож, рана, чай, мир
net: кость, мир, рана, дом, есть
hook: кость, ряд, рог, ива, есть
handle: кость, есть, ряд, лось, ходить
lock: кость, есть, рана, или, ходить
picture: кость, мир, рана, чай, есть
figure: кость, рана, мир, ходить, чай
doll: кость, рана, мир, ходить, чай
pouch: кость, рана, чай, ходить, мир
bundle: кость, есть, ряд, рана, лось
bag: кость, чай, рана, мир, ходить
bucket: кость, рана, ходить, чай, есть
cover: кость, рана, мир, или, и
dishes: кость, рана, ходить, чай, и
sack: кость, рана, ходить, мир, и
cup: кость, рана, чай, мир, ходить
pot: кость, рана, ходить, чай, мир
kettle: кость, рана, ходить, чай, ива
meal: кость, рана, чай, ходить, есть
food: кость, чай, рана, ходить, мир
dish: кость, рана, чай, мир, ходить
meat: кость, ходить, рана, чай, мир
corn: кость, рана, чай, ходить, мир
mush: кость, рана, мир, ходить, чай
bread: кость, чай, рана, ходить, мир
slice: кость, ходить, есть, рана, чай
fat: кость, рана, ходить, мир, чай
butter: кость, рана, ходить, чай, мир
oil: кость, рана, чай, ходить, мир
salt: кость, чай, рана, ходить, ива
soup: кость, чай, ходить, рана, мир
honey: кость, рана, ходить, чай, ива
milk: кость, рана, чай, ходить, мир
tea: кость, чай, рана, ива, ходить
leather: кость, рана, чай, ходить, мир
wool: кость, рана, ходить, чай, мир
cloth: кость, ходить, рана, мир, нож
needle: кость, рана, нож, ходить, мир
thread: кость, под, мир, есть, рана
button: кость, рана, чай, мир, ходить
knot: кость, рана, ходить, мир, есть
paint: кость, чай, мир, нож, есть
clothes: кость, ходить, рана, мир, чай
shirt: кость, рана, ходить, чай, мир
collar: кость, рана, ходить, чай, мир
sleeve: кость, рана, ходить, мир, чай
trousers: кость, ходить, рана, чай, мир
belt: кость, ходить, рана, чай, нож
cap: кость, рана, мир, ходить, чай
shoe: кость, рана, ходить, мир, чай
boot: кость, рана, есть, мир, ходить
ring: кость, рана, ходить, мир, и
ribbon: кость, рана, чай, мир, ива
comb: кость, нож, ряд, ходить, рана
mirror: кость, мир, рана, есть, ходить
strap: кость, мир, чай, рана, нож
string: кость, есть, ходить, ряд, рана
leash: кость, рана, ходить, чай, или
blanket: кость, рана, ходить, чай, мир
pillow: кость, чай, рана, ходить, есть
scarf: кость, рана, ходить, мир, чай
towel: кость, ходить, рана, мир, чай
force: кость, рана, ходить, есть, мир
strength: кость, ходить, рана, мир, лось
health: кость, мир, рана, ходить, и
illness: кость, ходить, рана, и, или
pain: кость, ходить, рана, мир, и
wound: кость, рана, ходить, мир, и
fever: кость, рана, ходить, чай, мир
medicine: кость, мир, рана, ходить, чай
bridge: кость, рана, ходить, ива, мир
well: кость, ходить, и, есть, уже
pasture: кость, рана, ходить, чай, мир
path: кость, ряд, рана, ходить, мир
way: кость, ходить, рана, и, есть
road: кость, рана, ходить, мир, чай
village: кость, рана, ходить, город, мир
town: кость, рана, ходить, город, мир
letter: кость, рана, ходить, чай, мир
book: кость, рана, мир, чай, и
character: кость, рана, ходить, есть, мир
newspaper: кость, рана, есть, мир, ходить
life: кость, ходить, мир, рана, и
death: кость, рана, ходить, мир, есть
grave: кость, рана, ходить, мир, есть
church: кость, мир, рана, ходить, дом
sin: кость, рана, ходить, мир, или
god: кость, рана, мир, ходить, и
worker: кость, рана, мир, ива, лось
boss: кость, рана, ходить, мир, есть
master: кость, рана, мир, есть, ходить
doctor: кость, мир, рана, есть, ходить
teacher: кость, рана, ходить, мир, есть
money: кость, рана, мир, ходить, чай
business: кость, мир, рана, дом, ходить
shop: кость, мир, рана, дом, чай
price: кость, рана, чай, ходить, есть
ware: кость, рана, мир, ходить, и
profit: кость, рана, ходить, мир, и
wealth: кость, мир, рана, ходить, и
world: кость, мир, рана, чай, дом
country: кость, рана, ходить, мир, чай
state: кость, рана, мир, лось, ряд
king: кость, рана, ходить, ива, мир
power: кость, ходить, рана, мир, есть
border: кость, рана, ходить, мир, есть
war: кость, рана, ходить, мир, и
enemy: кость, мир, рана, ходить, есть
violence: кость, рана, ходить, мир, или
fight: кость, рана, мир, ходить, есть
bow: кость, рана, ходить, мир, чай
arrow: кость, рана, мир, дом, или
gun: кость, рана, мир, ходить, чай
mistake: кость, ходить, рана, мир, есть
lie: кость, ходить, рана, или, и
damage: кость, лось, рана, ходить, есть
misfortune: кость, ходить, рана, мир, или
fault: кость, рана, ходить, есть, мир
age: кость, рана, ходить, мир, ряд
conclusion: кость, рана, ходить, и, или
time: кость, рана, ходить, мир, лось
day: кость, рана, ходить, мир, и
morning: кость, ходить, рана, мир, чай
noon: кость, рана, мир, чай, ходить
evening: кость, ходить, рана, есть, и
night: кость, рана, ходить, мир, есть
week: кость, рана, ходить, год, есть
month: кость, рана, год, ходить, мир
year: кость, рана, год, ходить, мир
spring: кость, ива, чай, мир, есть
summer: кость, рана, ходить, мир, чай
autumn: кость, рана, ходить, чай, мир
winter: кость, рана, ходить, мир, чай
January: рана, кость, год, ходить, или
February: рана, кость, год, мир, ходить
March: кость, рана, мир, ходить, и
April: рана, кость, мир, и, нести
May: кость, рана, или, и, ходить
June: кость, рана, или, мир, год
July: рана, кость, год, мир, и
August: кость, рана, год, или, ходить
September: рана, кость, год, мир, ходить
October: рана, кость, мир, год, или
November: рана, кость, год, или, мир
December: рана, кость, год, мир, ходить
Monday: рана, кость, ходить, мир, или
Tuesday: рана, кость, ходить, мир, или
Wednesday: рана, кость, ходить, мир, или
Thursday: рана, кость, ходить, мир, или
Friday: рана, кость, ходить, мир, или
Saturday: рана, кость, ходить, мир, или
Sunday: рана, кость, ходить, мир, и
big: кость, есть, мир, ива, рана
little: кость, мир, есть, рана, чай
long: кость, ходить, рана, есть, и
short: кость, ходить, рана, есть, и
wide: кость, ходить, есть, рана, или
narrow: кость, рана, ходить, и, есть
dense: кость, есть, ходить, мир, рана
thick: кость, рана, ходить, мир, есть
thin: кость, есть, мир, рана, ходить
delicate: кость, рана, ходить, есть, или
firm: кость, рана, мир, ходить, и
flat: кость, есть, ходить, рана, мир
smooth: кость, ходить, рана, есть, мир
hard: кость, ходить, рана, есть, мир
soft: кость, есть, мир, рана, и
round: кость, рана, ходить, есть, мир
pointed: кость, ходить, рана, есть, нож
sharp: кость, есть, ходить, рана, мир
blunt: кость, рана, мир, нож, ива
heavy: кость, рана, есть, мир, ходить
beautiful: кость, есть, или, мир, ходить
hot: кость, есть, рана, чай, или
warm: кость, рана, ходить, мир, чай
cold: кость, рана, ходить, мир, есть
cool: кость, есть, мир, и, чай
fresh: кость, есть, рана, чай, или
damp: кость, рана, ходить, и, есть
wet: кость, рана, ходить, ива, чай
dry: кость, чай, рана, есть, ива
full: кость, есть, рана, мир, и
empty: кость, есть, рана, чай, мир
open: кость, есть, мир, или, нести
closed: кость, ходить, рана, есть, или
clean: кость, есть, мир, рана, чай
dirty: кость, мир, есть, рана, ива
raw: кость, чай, рана, ива, есть
ripe: кость, рана, ходить, есть, чай
delicious: кость, рана, ходить, есть, чай
sweet: кость, чай, есть, рана, мир
bitter: кость, рана, ходить, чай, мир
sour: кость, ходить, рана, чай, и
bright: кость, мир, ива, рана, чай
dark: кость, мир, чай, ива, рана
black: кость, рана, мир, чай, ива
white: кость, ива, чай, есть, рана
red: кость, мир, чай, ива, рана
yellow: кость, чай, рана, ходить, ива
blue: кость, мир, рана, чай, ива
green: кость, мир, чай, рана, есть
grey: кость, ива, рана, мир, чай
colourful: кость, чай, мир, рана, есть
cheap: кость, есть, или, рана, и
dear: кость, или, рана, ходить, и
precious: кость, рана, мир, ходить, есть
blind: кость, рана, мир, ходить, есть
deaf: кость, рана, ходить, мир, или
powerful: кость, есть, ходить, рана, мир
strong: кость, рана, есть, и, мир
weak: кость, есть, рана, ходить, и
slim: кость, рана, ходить, мир, есть
pretty: кость, есть, мир, ива, чай
evil: кость, мир, рана, ходить, есть
stupid: кость, есть, ходить, рана, мир
lazy: кость, есть, ходить, рана, мир
diligent: кость, рана, ходить, и, мир
stingy: кость, рана, ходить, мир, есть
clever: кость, рана, ходить, или, мир
skilful: кость, рана, ходить, или, мир
merry: кость, рана, мир, ходить, ива
gentle: кость, ходить, рана, мир, есть
hungry: кость, ходить, рана, ива, чай
sick: кость, рана, ходить, мир, и
naked: кость, рана, мир, ходить, и
sad: кость, мир, рана, ходить, есть
living: кость, мир, ходить, рана, есть
good: кость, есть, и, мир, или
bad: кость, есть, мир, рана, и
correct: кость, есть, лось, ходить, дать
nasty: кость, рана, ходить, мир, и
true: кость, рана, мир, ходить, есть
old: кость, есть, рана, мир, или
new: кость, есть, или, рана, мир
former: кость, или, есть, рана, и
aged: кость, рана, ходить, есть, или
young: кость, мир, рана, есть, или
poor: кость, рана, ходить, или, есть
rich: кость, мир, рана, ива, есть
familiar: кость, ходить, рана, мир, есть
famous: кость, рана, мир, ходить, есть
foreign: кость, рана, мир, есть, и
different: кость, есть, или, и, рана
near: кость, рана, ходить, или, и
far: кость, ходить, рана, мир, и
left: кость, рана, мир, ходить, и
right: кость, ходить, есть, и, рана
other: кость, есть, или, рана, и
first: кость, есть, рана, и, ива
second: кость, есть, рана, ходить, мир
third: кость, рана, ходить, мир, есть
last: кость, рана, есть, ива, мир
alone: кость, ходить, рана, мир, есть
at once: кость, или, ходить, рана, и
together: кость, или, и, ходить, есть
suddenly: кость, ходить, рана, и, есть
instantly: кость, есть, ходить, рана, или
later: кость, или, рана, и, ходить
now: кость, есть, и, уже, или
today: кость, есть, рана, ходить, и
tomorrow: кость, ходить, рана, ива, мир
soon: кость, ходить, рана, и, или
then: кость, или, и, ходить, уже
yesterday: кость, рана, ходить, и, есть
once: кость, ходить, есть, уже, рана
at that time: кость, или, ходить, рана, есть
afterwards: кость, ходить, или, есть, рана
before: кость, есть, рана, ходить, или
at first: кость, или, ходить, рана, и
sometimes: кость, есть, и, ходить, или
often: кость, ходить, или, и, уже
always: кость, есть, ходить, и, уже
never: кость, ходить, рана, уже, и
here: кость, ходить, рана, или, и
hither: кость, ходить, рана, мир, и
hence: кость, и, рана, или, ходить
there: кость, ходить, рана, есть, и
thither: кость, ходить, рана, или, мир
ahead: кость, ходить, мир, рана, есть
forward: кость, ходить, есть, рана, лось
backward: кость, рана, мир, и, ходить
below: кость, ходить, или, рана, есть
down: кость, ходить, рана, есть, и
above: кость, рана, ходить, есть, и
up: кость, рана, мир, ходить, дом
everywhere: кость, есть, ходить, рана, и
not: кость, не, и, или, есть
a little: кость, есть, рана, или, ходить
hardly: кость, ходить, рана, есть, и
very: кость, есть, или, и, ходить
so: кость, так, или, и, есть
still: кость, ходить, есть, уже, рана
only: кость, и, есть, или, рана
already: кость, уже, ходить, есть, рана
again: кость, ходить, и, есть, уже
in vain: кость, ходить, или, рана, и
in front of: кость, или, рана, ходить, есть
behind: кость, ходить, рана, или, и
under: кость, или, и, есть, рана
through: кость, или, и, есть, рана
next to: кость, или, рана, есть, ходить
between: кость, или, и, рана, есть
because of: кость, или, есть, и, что
this: кость, есть, что, мир, лось
that: кость, и, или, есть, что
everything: кость, есть, ходить, мир, и
I: я, кость, и, мы, рана
you: кость, ты, и, мы, вы
thou: кость, рана, ходить, или, и
he: кость, или, и, рана, есть
we: мы, кость, я, и, вы
they: кость, и, мы, ходить, они
what: кость, что, есть, и, или
who: кость, ходить, рана, уже, и
where: кость, рана, или, и, есть
where ... to: кость, или, ходить, рана, и
how: кость, или, что, есть, и
why: кость, или, есть, и, что
how much: кость, или, есть, что, и
one: кость, рана, есть, ходить, и
two: кость, есть, рана, и, или
three: кость, три, есть, рана, или
four: кость, рана, есть, три, и
five: кость, рана, есть, три, мир
six: кость, рана, есть, и, или
seven: кость, рана, мир, есть, ходить
eight: кость, рана, и, есть, мир
nine: кость, рана, мир, ходить, есть
ten: кость, рана, мир, и, или
eleven: кость, рана, ходить, мир, или
twelve: кость, рана, ходить, мир, или
twenty: кость, рана, ходить, и, есть
thirty: кость, рана, ходить, и, мир
forty: кость, рана, ходить, мир, ива
fifty: кость, рана, ходить, мир, и
sixty: кость, рана, ходить, мир, есть
seventy: кость, рана, ходить, или, и
eighty: кость, рана, ходить, есть, и
ninety: кость, рана, ходить, мир, или
a hundred: кость, рана, ходить, есть, или
a thousand: кость, рана, есть, ходить, или
and: кость, и, или, есть, рана
or: кость, или, и, рана, есть
stand: кость, ходить, рана, мир, и
sit: кость, ходить, рана, мир, или
hang: кость, ходить, рана, есть, или
become: кость, рана, ходить, или, есть
happen: кость, ходить, рана, и, мир
begin: кость, есть, рана, мир, ходить
change: кость, есть, ходить, и, рана
rise: кость, ходить, рана, мир, есть
set: кость, есть, ряд, дать, вести
shine: кость, рана, мир, ходить, ива
blow: кость, рана, ходить, мир, и
stream: кость, рана, мир, есть, ходить
flow: кость, рана, ходить, мир, лось
revolve: кость, рана, ходить, мир, ива
sway: кость, рана, ходить, есть, мир
swing: кость, ходить, рана, мир, есть
fall: кость, ходить, рана, мир, есть
burn: кость, рана, есть, мир, ходить
freeze: кость, рана, ходить, есть, чай
thaw: кость, рана, ходить, мир, и
melt: кость, рана, мир, ходить, чай
boil: кость, рана, ходить, чай, или
rot: рот, кость, рана, ходить, рог
decay: кость, ходить, рана, мир, лось
snap: кость, есть, рана, мир, ходить
sink: кость, ходить, рана, мир, чай
pass: кость, ходить, рана, есть, и
appear: кость, ходить, есть, или, рана
disappear: кость, ходить, рана, мир, есть
decrease: кость, рана, ходить, или, и
increase: кость, есть, или, рана, и
grow: кость, ходить, рана, есть, мир
sparkle: кость, чай, мир, рана, ива
be noisy: кость, ходить, рана, или, и
chime: кость, рана, ходить, чай, мир
tinkle: кость, рана, ходить, мир, и
roar: кость, рана, ходить, мир, чай
rustle: кость, рана, ходить, есть, ива
howl: кость, есть, ходить, или, рана
whistle: кость, ходить, рана, и, мир
shout: кость, ходить, рана, мир, и
groan: кость, ходить, рана, мир, чай
tremble: кость, ходить, рана, мир, или
be alive: кость, ходить, рана, или, и
be born: кость, ходить, рана, или, и
breathe: кость, ходить, рана, мир, и
drink: кость, чай, рана, ходить, мир
eat: кость, ходить, мир, рана, чай
swallow: кость, рана, ходить, мир, ива
get tired: кость, ходить, есть, рана, или
fall asleep: кость, ходить, рана, есть, мир
wake up: кость, ходить, рана, мир, есть
get up: кость, ходить, есть, рана, или
relax: кость, ходить, рана, мир, есть
fall ill: кость, ходить, рана, мир, или
be ill: кость, ходить, рана, и, или
ache: кость, рана, ходить, чай, лось
cough: кость, ходить, рана, нести, мир
recover: кость, есть, или, и, рана
die: кость, ходить, рана, или, есть
perish: кость, рана, ходить, мир, или
move: кость, ходить, есть, рана, мир
budge: кость, рана, ходить, мир, чай
stand up: кость, ходить, рана, или, есть
sit down: кость, ходить, или, рана, есть
tumble: кость, рана, ходить, мир, и
pace: кость, рана, ходить, мир, или
go for a walk: кость, ходить, рана, или, есть
rush: кость, рана, мир, ходить, ива
hurry: кость, ходить, рана, и, мир
dash: кость, рана, мир, ходить, есть
run: кость, рана, есть, ходить, мир
jump: кость, ходить, рана, мир, есть
climb: кость, ходить, рана, мир, чай
seesaw: кость, рана, ходить, или, мир
creep: кость, рана, ходить, мир, и
swim: кость, рана, ходить, мир, и
dive: кость, рана, мир, ходить, и
drive: кость, ходить, рана, есть, мир
go: кость, ходить, рана, мир, есть
go away: кость, ходить, рана, есть, или
depart: кость, ходить, рана, мир, и
stop: кость, есть, ходить, рана, мир
go in: кость, ходить, рана, есть, или
enter: кость, или, мир, есть, рана
come: кость, ходить, или, и, рана
arrive: кость, ходить, рана, мир, есть
