eye: stem, zee, lip, worm, door
cat: kat, bot, nat, plat, worm
bear: wolf, beer, worm, roken, winter
squirrel: slee, soms, snoek, samen, slepen
elk: lepel, melk, kammen, koken, kachel
fox: wolf, boom, roken, worm, pees
hare: roken, pees, heet, lopen, hart
mouse: worm, stem, wolf, elf, boot
wolf: wolf, worm, hart, winter, blind
bird: worm, wolf, beer, winter, stem
swarm: zwerm, rinkelen, slapen, smal, slim
chicken: beer, komen, koken, kammen, snoek
cock: roken, worm, pees, heet, boom
goose: goed, noorden, noemen, meester, rinkelen
eagle: eend, eens, einde, eindigen, reiken
duck: worm, beer, wolf, roken, boom
owl: wolf, worm, roken, beer, winter
crane: braden, dragen, kring, meester, krant
crow: roken, wolf, pees, worm, heet
cuckoo: cirkel, dooien, buidel, kraag, kammen
swan: rinkelen, zwaan, slim, kammen, slapen
fish: worm, beer, stem, nut, winter
perch: plank, rinkelen, regenen, ademen, worden
pike: elf, bot, lopen, boot, uil
snake: worm, wolf, stem, beer, elf
worm: worm, stem, roken, heet, nut
spider: spoor, spelen, spits, spiegel, spel
ant: heet, mist, pees, ader, roken
louse: ladder, lief, lente, lachen, luis
midge: midden, muts, morgen, mug, muis
fly: worm, boom, stem, blind, roken
butterfly: bitter, buidel, bemerken, brij, beneden
berry: beer, winter, nut, roken, worm
apple: beer, winter, stem, chef, nest
mushroom: midden, mug, muts, mouw, muis
onion: inham, ingaan, toon, roken, stem
seed: stem, worm, nut, beer, ring
grain: grond, gras, graven, plank, slim
hay: heet, roken, alom, pees, mist
husk: rinkelen, roken, lukken, likken, pees
pit: heet, roken, nut, mist, stem
trap: put, heet, elf, bot, lopen
noose: noemen, noorden, nooit, roken, toon
track: stem, heet, boom, roken, put
ashes: roken, pees, heet, beer, lopen
filth: rinkelen, november, ademen, slank, roeren
iron: water, worm, hard, ring, beer
gold: beer, water, hard, roken, nut
silver: beer, winter, roken, blind, ring
coal: water, slag, beer, wind, land
glass: door, beer, stem, roken, water
clay: slim, klank, plank, slank, slapen
sand: water, wind, nut, worm, mist
human: stem, blind, brief, roken, teen
man: man, roken, pees, dan, heet
woman: man, teen, beer, blind, roken
child: teen, blind, brief, week, man
boy: teen, man, beer, pees, roken
girl: teen, man, god, blind, beer
family: brief, teen, winter, stem, week
grandfather: cadeau, roken, augustus, worden, blind
grandmother: cadeau, winter, augustus, roken, blind
parents: week, teen, brief, pees, roken
father: god, roken, later, chef, dan
mother: god, teen, roken, man, blind
son: alom, roken, pees, lopen, heet
daughter: roken, later, heet, teen, brief
brother: broer, broek, broeder, brood, roeren
sister: soms, slee, samen, schrander, slepen
uncle: april, augustus, meester, dan, broer
aunt: aarde, aankomen, aanzien, aankijken, afrukken
husband: herstellen, willen, roken, pees, soep
wife: teen, olie, roken, man, later
joy: roken, dan, olie, alom, pees
laughter: beer, roken, brief, winter, god
happiness: honing, helling, houden, heden, hals
grief: golf, ginds, gieten, groot, gans
wish: roken, pees, put, heet, mist
desire: ineens, roken, ingaan, reeks, cadeau
spirit: beer, blind, roken, mist, heet
thought: heet, brief, blind, stem, later
memory: boot, stem, elf, brief, letter
mind: mist, heet, stem, god, blind
meaning: later, brief, heet, put, kind
reason: heet, later, roken, put, brief
truth: god, brief, roken, lied, blind
talk: week, brief, pop, boom, stem
fairy tale: familie, vasteland, fijn, golf, buidel
story: letter, brief, week, stem, boom
message: letter, elf, bot, fout, week
news: arts, top, brief, week, boot
name: letter, week, kind, woord, fout
puzzle: punt, pap, prikken, pijp, prijzen
speech: brief, letter, week, stem, blind
language: letter, brief, week, stem, elf
voice: brief, zee, stem, letter, week
word: worden, letter, elf, week, stem
sign: put, heet, lopen, roken, week
call: put, bot, lopen, kind, heet
noise: wind, worm, water, zee, beer
sound: boom, stem, blind, heet, wind
tone: heet, roken, olie, lopen, ring
song: letter, week, brief, heet, boom
calm: overal, ingaan, roken, rinkelen, november
people: week, man, brief, lopen, roken
nation: week, roken, lopen, heet, later
work: week, heet, stem, brief, roken
guest: week, brief, chef, top, beer
gift: beer, letter, stem, brief, week
game: ui, boot, bot, elf, uil
company: brief, week, top, heet, letter
help: brief, top, boot, stem, week
friend: week, lopen, heet, kind, roken
companion: stem, produceren, worden, storen, opdagen
matter: heet, stem, later, roken, ring
count: rand, put, week, kind, vet
sort: put, kind, rand, week, letter
piece: heet, letter, roken, lopen, stem
part: week, heet, kind, put, mist
half: blind, hard, roken, beer, warm
circle: ring, letter, stem, elf, heet
cross: stem, ring, blind, top, brief
line: letter, heet, ring, stem, elf
stroke: stem, brief, beer, week, teen
gap: stem, heet, lopen, ring, boot
distance: week, heet, stem, letter, lopen
area: week, lopen, letter, heet, top
space: beer, stem, roken, brief, top
place: put, heet, roken, lopen, stem
side: door, top, stem, ring, boom
middle: top, roken, stem, blind, winter
item: letter, week, elf, bot, stem
thing: heet, put, kind, roken, pees
fringe: fris, braden, afrukken, meester, reeks
edge: stem, heet, ring, lopen, elf
corner: door, bed, top, winter, beer
tip: lip, stem, bot, heet, pad
end: heet, later, stem, put, roken
hole: heet, ring, worm, stem, roken
angle: ring, letter, stem, door, elf
pattern: letter, elf, stem, worden, heet
size: letter, stem, rand, week, elf
length: heet, letter, week, stem, put
height: week, letter, heet, stem, kind
weight: week, heet, stem, letter, elf
amount: week, put, letter, heet, kind
heap: elf, stem, boot, bot, heet
row: week, pad, heet, rand, letter
boat: beer, door, boot, winter, boom
oar: oever, oosten, spoelen, noemen, roken
sleigh: slee, soms, samen, slepen, slijpen
ski: ski, beer, winter, wei, roken
campfire: winter, augustus, beer, drinken, baden
load: rand, put, open, elf, boot
walk: week, put, lopen, roken, boom
step: heet, stem, put, week, pad
north: westen, winter, top, hart, roken
south: westen, winter, roken, hart, eland
west: westen, hart, dan, winter, kip
east: westen, hart, roken, dan, winter
wood: door, bed, beer, water, worm
board: letter, week, boot, elf, stem
slab: slim, slank, slapen, slag, slang
bracket: braden, bruisen, brug, heet, plank
pole: ring, stem, heet, door, roken
stick: stem, ring, boot, worm, pad
staff: brief, week, chef, stem, top
pipe: door, stem, ring, worm, heet
house: door, beer, top, roken, winter
home: top, brief, zee, beer, arts
stove: strop, stomp, steken, stoten, stang
floor: door, bed, rug, ring, stem
table: letter, boot, week, stem, elf
chair: door, bed, roken, stem, heet
cradle: dragen, braden, kring, slim, plank
bed: bed, door, bederven, rug, bedekken
shelf: stem, bed, door, worm, heet
box: stem, boot, ring, elf, worm
window: ui, boot, fout, bot, elf
door: door, roken, bed, lopen, heet
gate: door, stem, ring, heet, roken
fence: fijn, familie, ladder, golf, knoop
roof: door, bed, water, beer, wind
ladder: ladder, lief, lente, luis, luiden
broom: brij, bitter, bellen, bont, buidel
spade: spoor, spelen, spits, spiegel, spel
shovel: slapen, slank, rinkelen, slim, buidel
fork: worm, stem, boot, elf, put
spoon: spoor, spelen, spits, spiegel, spel
knife: beer, stem, worm, boot, door
net: net, bot, boot, dat, vet
hook: boot, ui, elf, bot, stem
handle: put, elf, bot, lopen, letter
lock: put, roken, heet, lopen, boot
picture: letter, brief, roken, top, beeld
figure: letter, stem, week, figuur, elf
doll: roken, worm, pees, boom, heet
pouch: pap, punt, prikken, pantalon, prijzen
bundle: boot, elf, bot, letter, stem
bag: pad, heet, rug, stem, roken
bucket: heet, stem, worm, beer, boom
cover: beeld, brief, roken, letter, heet
dishes: dansen, droom, doden, dorp, delen
sack: soms, slee, samen, slijpen, schaap
cup: stem, heet, roken, nut, beer
pot: nut, heet, bot, put, roken
kettle: kammen, knoop, koken, komen, kachel
meal: week, beer, letter, stem, nest
food: beer, stem, water, top, winter
dish: beer, stem, heet, nest, roken
meat: meester, mei, meedelen, meisje, beer
corn: beer, nut, worm, roken, winter
mush: muts, mug, muis, midden, maken
bread: beer, nut, worm, stem, boom
slice: stem, elf, boot, heet, letter
fat: blind, nut, heet, beer, stem
butter: bitter, brij, bellen, bont, buidel
oil: water, beer, wind, stem, nut
salt: water, stem, nut, worm, beer
soup: beer, winter, stem, boom, worm
honey: honing, helling, heden, houden, hals
milk: midden, mug, muts, maken, morgen
tea: beer, stem, winter, zee, ski
leather: lepel, lekker, leven, leiden, lezen
wool: noemen, roeren, noorden, spoelen, roken
cloth: stem, beer, heet, roken, rug
needle: ring, stem, worm, water, hand
thread: stem, boot, ring, elf, letter
button: letter, boot, elf, bot, week
knot: knoop, koken, kammen, komen, kist
paint: rug, heet, beer, door, stem
clothes: handdoek, handvat, roeren, beer, roken
shirt: beer, heet, door, roken, stem
collar: plank, leggen, roken, heet, rinkelen
sleeve: slee, slede, slepen, slecht, slijpen
trousers: trappen, bruisen, inslapen, bederven, buidel
belt: heet, ring, stem, beer, door
cap: heet, nut, pad, roken, bot
shoe: zonde, rinkelen, schrede, plank, meester
boot: boot, bot, elf, lopen, worm
ring: ring, heet, stem, worm, roken
ribbon: stem, ring, letter, worm, elf
comb: stem, heet, mist, worm, pad
mirror: door, ring, stem, roken, heet
strap: heet, stem, pad, boot, roken
string: letter, val, elf, put, rand
leash: lepel, leeg, leven, lekker, lezen
blanket: beer, blind, brief, noorden, top
pillow: handvat, plank, beer, bedekken, bed
scarf: rinkelen, roken, handvat, bederven, ingaan
towel: tellen, tien, tong, tijd, tante
force: heet, stem, elf, blind, put
strength: heet, stem, roken, brief, put
health: brief, stem, beer, top, week
illness: later, brief, roken, ingaan, heet
pain: roken, brief, stem, beer, heet
wound: wachten, winkel, wenden, weten, wassen
fever: meester, redden, genezen, zonde, roeren
medicine: beer, stem, brief, top, roken
bridge: door, stem, heet, top, ring
well: later, heet, roken, blind, been
pasture: winter, beer, november, brief, ingaan
path: fout, elf, bot, rand, week
way: heet, roken, put, pees, lopen
road: door, blind, beer, land, winter
village: vinden, varken, vissen, vullen, vrouw
town: roken, lopen, week, land, brief
letter: letter, worden, heet, week, stem
book: brief, letter, stem, week, top
character: letter, brief, heet, stem, week
newspaper: produceren, november, april, opdagen, worden
life: zee, week, brief, beer, stem
death: blind, brief, roken, god, beer
grave: roken, olie, brief, blind, door
church: beer, brief, blind, roken, top
sin: kin, spin, lopen, roken, dan
god: god, lied, roken, blind, man
worker: elf, chef, bot, letter, week
boss: roken, bos, chef, boom, lopen
master: stem, top, lopen, roken, chef
doctor: chef, teen, roken, blind, dan
teacher: chef, teen, brief, beer, stem
money: beer, letter, week, top, stem
business: brief, top, beer, stem, week
shop: top, stem, roken, lopen, storen
price: week, top, letter, beer, stem
ware: lopen, roken, heet, pees, stem
profit: week, heet, stem, beer, lopen
wealth: brief, land, blind, week, beer
world: top, winter, week, beer, blind
country: beer, winter, top, week, blind
state: week, letter, uil, stem, brief
king: wang, kip, hart, roken, dan
power: water, beer, wind, boom, stem
border: letter, brief, stem, blind, top
war: roken, beer, oor, winter, teen
enemy: elf, blind, bot, letter, week
violence: november, roken, later, lied, noemen
fight: brief, roken, blind, week, heet
bow: roken, boom, stem, heet, worm
arrow: top, letter, roken, beeld, brief
gun: beer, roken, worm, boom, blind
mistake: mist, roken, heet, ingaan, noemen
lie: lied, olie, hoe, heet, roken
damage: heet, stem, roken, brief, lopen
misfortune: misleiden, ingaan, roken, meester, noemen
fault: heet, stem, brief, worm, elf
age: week, letter, kind, stem, heet
conclusion: heet, ingaan, brief, lopen, worden
time: week, letter, elf, stem, heet
day: week, heet, dag, kind, lopen
morning: april, november, winter, herfst, roken
noon: roken, lopen, week, heet, boom
evening: brief, roken, winter, overal, noemen
night: winter, blind, week, beer, brief
week: week, brief, heet, lopen, beer
month: week, letter, last, vet, kind
year: week, letter, kind, heet, brief
spring: springen, winter, stem, boot, worm
summer: winter, beer, week, brief, stem
autumn: winter, november, april, augustus, december
winter: winter, beer, warm, water, wolf
January: winter, week, brief, beer, last
February: winter, week, brief, beer, last
March: winter, week, eland, beer, hart
April: winter, week, beer, ei, of
May: later, of, as, roken, winter
June: winter, week, olie, roken, of
July: winter, week, beer, brief, last
August: winter, week, later, of, roken
September: winter, week, brief, beer, beeld
October: winter, week, beer, brief, last
November: winter, week, brief, beer, of
December: winter, week, brief, beer, december
Monday: winter, week, brief, roken, later
Tuesday: winter, week, brief, roken, later
Wednesday: winter, week, brief, roken, later
Thursday: winter, week, brief, roken, beer
Friday: winter, week, brief, roken, beer
Saturday: winter, week, brief, roken, beer
Sunday: winter, week, brief, beer, roken
big: blind, top, boom, beer, roken
little: blind, roken, winter, teen, brief
long: brief, roken, heet, stem, blind
short: brief, blind, stem, heet, roken
wide: roken, blind, stem, heet, brief
narrow: negen, nog, nacht, nemen, niet
dense: stem, hard, ring, warm, heet
thick: thans, roken, heet, honing, slim
thin: roken, warm, stem, heet, hard
delicate: roken, lepel, deken, aarde, cadeau
firm: heet, roken, lopen, stem, later
flat: stem, heet, ring, hard, plat
smooth: blind, roken, warm, hard, stem
hard: hard, warm, blind, stem, roken
soft: hard, warm, blind, stem, roken
round: ring, warm, bed, roken, door
pointed: heet, roken, worden, ring, ingaan
sharp: roken, blind, heet, stem, boom
blunt: blazen, blaffen, blad, blauw, slim
heavy: hard, blind, stem, beer, warm
beautiful: roken, warm, winter, blind, brief
hot: warm, top, stem, heet, roken
warm: warm, winter, roken, hard, blind
cold: warm, hard, winter, blind, beer
cool: warm, top, winter, roken, boom
fresh: warm, winter, roken, beer, blind
damp: droom, dorp, dansen, drek, dier
wet: wassen, wenden, weten, wensen, wachten
dry: warm, hard, stem, worm, water
full: brief, top, blind, last, stem
empty: stem, elf, letter, top, put
open: open, openen, lopen, roken, boot
closed: roken, brief, blind, lopen, heet
clean: boot, put, top, lopen, stem
dirty: blind, beer, roken, winter, warm
raw: put, stem, warm, nut, top
ripe: stem, roken, lopen, zee, beer
delicious: drinken, beloven, lepel, lekker, melken
sweet: warm, winter, blind, beer, roken
bitter: bitter, brij, bellen, bont, beneden
sour: soms, slee, samen, smeren, slijpen
bright: warm, blind, winter, brief, roken
dark: blind, warm, hard, wolf, winter
black: blind, roken, warm, top, winter
white: warm, roken, winter, olie, blind
red: reden, roken, blind, winter, wolf
yellow: winter, warm, roken, beer, reden
blue: roken, winter, olie, beer, warm
green: roken, winter, beer, stem, lopen
grey: winter, roken, warm, door, beer
colourful: worden, winter, beer, stem, letter
cheap: top, mens, roken, winter, brief
dear: deken, deur, deel, deksel, tehuis
precious: roken, december, november, heet, noemen
blind: blind, roken, brief, stem, heet
deaf: deken, deur, deel, deksel, rede
powerful: brief, blind, overal, top, produceren
strong: brief, roken, stem, blind, heet
weak: blind, brief, stem, heet, roken
slim: slim, slank, slapen, slang, sluiten
pretty: top, put, blind, warm, roken
evil: blind, roken, god, teen, beer
stupid: stang, stomp, sturen, stoten, stier
lazy: blind, stem, boot, elf, chef
diligent: dansen, drijven, dertig, dier, dood
stingy: stoten, stang, stomp, strop, steken
clever: roken, herstellen, reeks, ingaan, lepel
skilful: rinkelen, buidel, klank, slapen, kledij
merry: midden, mug, morgen, muts, muis
gentle: roken, ingaan, noemen, heet, rinkelen
hungry: honger, hangen, blind, wang, hongerig
sick: soms, slee, samen, slijpen, smeren
naked: negen, nog, nemen, nacht, niet
sad: roken, blind, pad, pees, oor
living: roken, blind, stem, brief, winter
good: blind, brief, top, roken, heet
bad: baden, blind, roken, pad, brief
correct: put, heet, brief, blind, stem
nasty: nog, negen, nemen, nacht, niet
true: blind, brief, roken, stem, zee
old: roken, blind, top, brief, oud
new: top, brief, roken, lopen, put
former: of, roken, later, as, thee
aged: roken, blind, put, warm, of
young: teen, blind, roken, top, hart
poor: poort, noemen, spoelen, dochter, noorden
rich: roken, blind, dan, pees, alom
familiar: familie, fijn, roken, ginds, brief
famous: fijn, familie, golf, komen, ginds
foreign: top, brief, blind, stem, teen
different: of, later, heet, brief, roken
near: roken, of, lopen, heet, beeld
far: roken, oor, tal, lopen, kin
left: top, blind, put, stem, roken
right: heet, stem, blind, roken, top
other: of, brief, later, roken, as
first: last, top, brief, week, blind
second: last, brief, blind, later, top
third: last, brief, blind, roken, later
last: last, brief, week, blind, top
alone: roken, later, heet, brief, lopen
at once: of, andere, ingaan, later, as
together: toon, toen, toenemen, toebereiden, tooien
suddenly: slee, soms, samen, slijpen, slepen
instantly: overal, brief, beer, blind, heet
later: later, heet, roken, of, been
now: later, heet, put, roken, week
today: week, later, roken, heet, lopen
tomorrow: willen, dan, augustus, april, lukken
soon: later, roken, heet, lopen, oor
then: later, of, been, heet, roken
yesterday: oever, soep, hiel, willen, roken
once: later, been, roken, heet, as
at that time: of, andere, ingaan, thee, later
afterwards: later, of, ingaan, toon, willen
before: later, week, put, last, blind
at first: of, later, andere, as, ingaan
sometimes: later, of, as, put, been
often: been, later, of, as, roken
always: been, later, put, heet, pees
never: been, later, god, we, roken
here: later, roken, heet, week, lopen
hither: houden, helling, heden, honing, hout
hence: honing, houden, heden, helling, hout
there: been, later, we, god, roken
thither: thans, bruisen, roken, ingaan, ophouden
ahead: lopen, roken, heet, week, stem
forward: blind, brief, stem, heet, lopen
backward: beeld, brief, week, roken, heet
below: later, heet, brief, roken, of
down: roken, heet, put, lopen, boom
above: roken, heet, brief, later, put
up: top, lopen, stem, week, put
everywhere: noemen, thee, roken, herstellen, ingaan
not: been, later, put, as, of
a little: aarde, thee, aankijken, aanzien, aankomen
hardly: hard, overal, roken, blind, warm
very: been, tooien, later, as, of
so: soep, soort, tooien, later, put
still: been, later, roken, heet, blind
only: later, of, put, roken, heet
already: been, later, heet, roken, week
again: later, heet, roken, put, lopen
in vain: inham, of, ingaan, later, andere
in front of: inham, of, ingaan, andere, thee
behind: roken, ingaan, herstellen, willen, heet
under: of, overal, as, roken, onder
through: of, later, as, brief, heet
next to: of, thee, toon, inham, andere
between: of, as, later, roken, brief
because of: of, as, andere, later, ingaan
this: heet, lopen, put, brief, kind
that: of, later, as, heet, roken
everything: roken, heet, put, later, lopen
I: we, been, weer, ijs, weide
you: we, later, been, roken, pees
thou: thans, roken, ophouden, zonde, tooien
he: heffen, of, later, thee, as
we: we, weide, weer, wekken, been
they: we, been, later, heet, pees
what: of, later, heet, put, roken
who: we, been, later, man, weide
where: of, as, later, put, roken
where ... to: andere, toenemen, toen, of, toon
how: of, put, as, later, heet
why: of, put, later, as, roken
how much: of, ingaan, as, dochter, doof
one: roken, zee, olie, heet, brief
two: roken, blind, brief, of, heet
three: roken, heet, brief, stem, blind
four: roken, heet, brief, blind, top
five: roken, brief, top, zee, heet
six: roken, brief, heet, blind, top
seven: roken, brief, heet, blind, top
eight: roken, heet, brief, top, of
nine: roken, zee, brief, olie, heet
ten: roken, lopen, heet, top, eten
eleven: leven, roken, reeks, lopen, ineens
twelve: twintig, twijg, roken, november, reeks
twenty: week, top, roken, beer, winter
thirty: thans, roken, november, heet, zonde
forty: augustus, roken, westen, april, hart
fifty: fijn, familie, golf, zuster, vijf
sixty: roken, brief, top, april, overal
seventy: september, zeventig, ineens, veertig, twintig
eighty: roken, overal, brief, top, reeks
ninety: zeventig, roken, zuster, november, ademen
a hundred: aarde, thee, aanzien, aankijken, aankomen
a thousand: aarde, thee, aanzien, aankijken, aankomen
and: of, later, andere, as, been
or: of, later, oor, as, been
stand: roken, heet, lied, put, lopen
sit: dit, heet, pees, alom, put
hang: hangen, put, heet, roken, wang
become: beek, bezem, beven, tooien, ingaan
happen: houden, honing, helling, heden, hout
begin: beginnen, put, bot, lopen, rand
change: put, lopen, heet, letter, boot
rise: roken, zee, lopen, stem, boom
set: put, rand, val, bot, fout
shine: roken, zee, olie, boom, heet
blow: blazen, blaffen, blad, blauw, slim
stream: heet, stem, lopen, elf, put
flow: heet, stem, ring, wind, water
revolve: rinkelen, vasteland, slapen, november, regenen
sway: slapen, slim, rinkelen, zonde, plank
swing: boom, ring, roken, door, stem
fall: winter, beer, stem, week, top
burn: roken, put, heet, worm, pees
freeze: stem, boot, put, hoe, heet
thaw: thans, heet, roken, zonde, rinkelen
melt: midden, muts, maken, mug, macht
boil: boog, boord, boek, boven, boezem
rot: rotten, heet, lopen, roken, bot
decay: heet, stem, ring, roken, worm
snap: boot, boom, stem, bot, pop
sink: bed, door, roken, rug, heet
pass: put, lopen, heet, week, bot
appear: put, later, heet, roken, lopen
disappear: redden, roken, reiken, pees, lopen
decrease: deken, deur, deel, deksel, rede
increase: put, stem, of, brief, heet
grow: stem, put, roken, boom, beer
sparkle: worden, rinkelen, elf, slapen, figuur
be noisy: beven, bezem, beek, beheersen, tooien
chime: zonde, koken, schrede, buidel, meedelen
tinkle: tellen, tien, tante, tong, tillen
roar: roeren, rook, roep, rood, roepen
rustle: rust, rinkelen, slapen, worden, stomp
howl: soep, tooien, doof, willen, roken
whistle: slapen, meester, komen, fluiten, zonde
shout: schudden, jij, slank, rinkelen, heet
groan: groen, roeren, broer, rook, droog
tremble: tellen, tillen, tong, tijding, tien
be alive: beven, bezem, beek, beheersen, bezoeken
be born: beven, beek, bezem, been, beheersen
breathe: buidel, bemerken, beneden, bellen, beproeven
drink: drinken, beer, week, stem, heet
eat: beer, nat, drinken, roken, pees
swallow: rinkelen, roken, slapen, slim, rook
get tired: put, week, brief, stoppen, overal
fall asleep: winter, beer, november, drinken, week
wake up: roken, noemen, doof, boom, drinken
get up: put, heet, overal, roken, doof
relax: optillen, plank, regenen, slapen, korrel
fall ill: winter, november, roken, herfst, beer
be ill: beven, beek, bezem, been, beheersen
ache: roken, heet, olie, zee, lopen
cough: cirkel, knoop, bitter, honing, komen
recover: put, boot, roken, lopen, stem
die: olie, wie, hoe, lopen, zee
perish: herstellen, ingaan, noemen, roken, inham
move: put, lopen, elf, heet, boot
budge: bellen, buidel, brij, bont, beneden
stand up: roken, ingaan, boom, bang zijn, leder
sit down: ingaan, herstellen, bang zijn, roken, lied
tumble: tellen, tien, tijd, tong, tussen
pace: roken, olie, heet, lopen, zee
go for a walk: goed, toedekken, aandrijven, aankijken, dochter
rush: roken, boom, pees, stem, heet
hurry: honing, houden, helling, hout, heden
dash: pad, lopen, elf, boot, boom
run: put, boot, bot, lopen, elf
jump: boot, boom, stem, week, heet
climb: klank, slapen, plank, slim, buidel
seesaw: september, reeks, meedelen, ineens, omheining
creep: heet, rook, rinkelen, redden, streep
swim: slim, golf, rinkelen, komen, slank
dive: dansen, droom, dorp, doden, dak
drive: boot, stem, roken, heet, boom
go: goed, zee, lopen, zo, roken
go away: goed, doof, dochter, noemen, tooien
depart: put, lopen, heet, roken, alom
