eye: 耳, 唇, そして, こちら, 歯
sheep: 羊, 先生, -と, 衣服, 子供
pig: 蜘蛛, そして, 部分, 像, 衣服
dog: 犬, 猫, 子供, 先生, そして
cat: 猫, 像, 部分, 先生, 子供
bear: 熊, 蜘蛛, 狼, そして, 衣服
squirrel: そして, 先生, 蜘蛛, する, -と
elk: そして, 像, こちら, 部分, 街道
fox: 狐, 像, 部分, そして, 蜘蛛
hare: 先生, する, そして, こちら, 理由
mouse: 鼠, まず, 部分, 像, 猫
wolf: 狼, 蜘蛛, 狐, そして, 部分
bird: 鳥, 蜘蛛, そして, 像, 猫
swarm: 像, 部分, -と, そして, 街道
chicken: そして, 衣服, 先生, 理由, 像
cock: そして, 像, 先生, 理由, 岸
goose: -と, 像, 先生, -たい, そして
eagle: こちら, そして, 街道, 部分, 先生
duck: 蜘蛛, 像, そして, 衣服, 先生
owl: 蜘蛛, 像, そして, 衣服, 先生
crane: -と, 先生, 街道, 像, そして
crow: 像, そして, 蜘蛛, 部分, 先生
cuckoo: -と, -たい, 理由, 先生, 像
swan: 像, そして, 部分, 先生, 街道
fish: 魚, 蜘蛛, 衣服, そして, 部分
perch: 像, そして, 部分, -と, まず
pike: 蜘蛛, 部分, 先生, 像, 希望
snake: 蛇, 蜘蛛, 衣服, 像, 部分
worm: 蜘蛛, 衣服, 部分, 像, そして
spider: 蜘蛛, そして, 部分, 先生, 衣服
ant: そして, 部分, 像, こちら, まず
louse: -と, -たい, 理由, 先生, 場所
midge: 先生, -と, 像, そして, -たい
fly: そして, 像, まず, 部分, こちら
butterfly: -と, 衣服, -たい, する, そして
berry: 先生, 像, 衣服, そして, 部分
apple: 像, 衣服, そして, 部分, 蜘蛛
mushroom: 茸, そして, -と, 像, する
onion: -と, 像, -たい, そして, 部分
seed: 部分, 衣服, 理由, 街道, そして
grain: 部分, そして, 理由, 街道, 衣服
hay: 像, そして, 先生, こちら, 衣服
husk: -と, 理由, 像, 先生, そして
pit: そして, 部分, 像, 街道, 理由
trap: 像, 理由, 部分, そして, 蜘蛛
noose: -と, -たい, 像, そして, こちら
track: そして, 部分, 像, まず, 街道
ashes: 衣服, そして, 像, 先生, 部分
filth: 理由, そして, 先生, 衣服, 像
iron: 鉄, する, そして, 部分, まず
gold: そして, 銀, 金, する, 部分
silver: 銀, そして, 像, 部分, する
coal: する, 街道, 部分, そして, こちら
glass: そして, する, まず, 像, 衣服
clay: そして, 先生, 像, 部分, 街道
sand: 砂, そして, 衣服, 部分, 像
human: 人, 部分, 像, 高い, 鼠
man: 先生, そして, 主人, 像, 人
woman: 女性, 先生, そして, 男性, こちら
child: 子供, 女性, 男性, 先生, 部分
boy: 先生, 男, 子供, そして, 女
girl: 先生, 女, そして, 妹, 子供
family: 家族, 先生, 子供, そして, 街道
grandfather: -と, 先生, 像, そして, -たい
grandmother: 先生, -と, 像, そして, 五月
parents: 先生, 主人, 子供, 理由, 部分
father: 先生, 父, 母, 主人, そして
mother: 母, 父, 先生, 娘, そして
son: 先生, そして, 像, こちら, 主人
daughter: 先生, そして, -と, 主人, 娘
brother: 先生, 像, -と, そして, -たい
sister: そして, 先生, 妹, こちら, 部分
uncle: 像, 先生, -と, そして, 主人
aunt: -と, -たい, 像, そして, 先生
husband: -たい, 先生, -と, 主人, 妻
wife: 先生, 妻, 妹, 主人, 子供
joy: 先生, そして, 像, 理由, 衣服
laughter: する, 理由, 先生, そして, 衣服
happiness: -と, 理由, -たい, そして, 先生
grief: そして, 理由, 先生, 衣服, 部分
wish: 像, そして, 希望, 先生, 部分
desire: -と, -たい, そして, 像, こちら
spirit: そして, 像, 先生, 部分, 理由
thought: そして, 像, こちら, 理由, 部分
memory: 部分, 理由, 衣服, そして, 像
mind: そして, 像, 理由, 心, まだ
meaning: 意味, 理由, -たい, 像, する
reason: 理由, 部分, 像, そして, 先生
truth: 理由, そして, 罪, 部分, 先生
talk: そして, 部分, 像, 理由, こちら
fairy tale: -と, -たい, する, 理由, 衣服
story: 理由, 衣服, そして, 先生, 部分
message: 文字, 部分, 理由, 名前, 先生
news: 新聞, こちら, 部分, そして, まず
name: 名前, 場所, 先生, 理由, 部分
puzzle: 理由, そして, 部分, 先生, 衣服
speech: 像, 理由, 部分, そして, する
language: 場所, 理由, 部分, 言葉, 街道
voice: そして, 先生, 声, 理由, 部分
word: 文字, 部分, 言葉, 像, 衣服
sign: そして, 部分, 像, こちら, まず
call: 像, 部分, まず, そして, 理由
noise: 理由, 部分, 街道, する, そして
sound: 音, そして, 部分, する, 像
tone: そして, 理由, 部分, 先生, 像
song: 先生, 衣服, 理由, 歌, そして
calm: 像, そして, -と, 部分, 街道
people: 先生, 部分, そして, 理由, 女性
nation: 街道, こちら, そして, 先生, 世界
work: 街道, 部分, 場所, 先生, 衣服
guest: 客, 先生, そして, こちら, 主人
gift: 衣服, そして, 理由, 部分, 先生
game: 部分, 蜘蛛, そして, 先生, 衣服
company: 街道, こちら, 先生, 場所, 店
help: 像, 部分, こちら, まず, 理由
friend: 先生, 像, そして, 主人, 部分
companion: 先生, 像, そして, 部分, こちら
matter: 理由, 部分, 像, する, そして
count: 部分, そして, 数, 理由, 像
sort: 部分, 場所, 理由, まず, 名前
piece: 部分, 件, 理由, 衣服, そして
part: 部分, 理由, そして, 街道, 像
half: そして, 像, 部分, する, まず
circle: 部分, 衣服, する, 理由, そして
cross: 部分, そして, 像, まず, 街道
line: 線, 部分, そして, まず, 文字
stroke: 部分, そして, 衣服, 先生, 蜘蛛
gap: 部分, そして, 街道, 先生, 理由
distance: 距離, 場所, 部分, 理由, 時間
area: 場所, 距離, 街道, 部分, 地域
space: 場所, こちら, そして, 部分, まず
place: 場所, 距離, -と, こちら, 部分
side: そして, 部分, まず, 先生, 街道
middle: 像, そして, 部分, まず, 先生
item: 部分, 衣服, 件, 場所, そして
thing: 理由, 像, 部分, そして, 件
fringe: -と, -たい, そして, 先生, こちら
edge: 部分, 辺, 像, そして, まず
corner: そして, する, まず, こちら, 衣服
tip: 部分, 理由, そして, 像, 先生
end: 端, 部分, そして, 像, 理由
hole: 穴, 部分, そして, 像, 理由
angle: 角, 距離, 部分, する, 先生
pattern: 理由, 衣服, 部分, 文字, そして
size: 理由, 距離, 衣服, 部分, 場所
length: 理由, 部分, 距離, 時間, 場所
height: 距離, 部分, 時間, 理由, 先生
weight: 部分, 理由, 距離, 衣服, そして
amount: 部分, 理由, そして, 件, 先生
heap: 部分, 街道, 衣服, 理由, 先生
row: 部分, 先生, そして, 理由, 衣服
boat: 衣服, 街道, そして, 先生, 部分
oar: -と, -たい, そして, 場所, 像
sleigh: そして, -と, 先生, 理由, する
ski: こちら, そして, 距離, 先生, 場所
campfire: -と, そして, 像, -たい, する
load: 部分, 像, まず, こちら, そして
walk: そして, 部分, 距離, 街道, 像
step: 部分, そして, 理由, 像, 先生
north: 北, 南, 東, こちら, 像
south: 南, 北, こちら, そして, 東
west: 西, 東, 北, そして, こちら
east: 東, そして, 北, 像, こちら
wood: 木, 衣服, する, そして, 棚
board: 板, 街道, 部分, 先生, そして
slab: 街道, 部分, そして, 衣服, 理由
bracket: -と, -たい, 理由, そして, 場所
pole: そして, 棒, 先生, する, 部分
stick: 部分, 蜘蛛, そして, 棒, 衣服
staff: 先生, 街道, そして, 部分, こちら
pipe: 衣服, 管, 部分, 街道, そして
house: 家, 街道, 衣服, そして, 先生
home: 場所, 家, こちら, 名前, 新聞
stove: 衣服, 先生, 街道, そして, 像
floor: する, 衣服, そして, まず, 街道
table: 部分, まず, そして, 棚, 床
chair: 衣服, そして, 先生, こちら, 像
cradle: 理由, 先生, 像, 街道, 部分
bed: 床, 衣服, そして, まず, 先生
shelf: 棚, 衣服, そして, 部分, まず
box: 箱, 衣服, そして, 部分, 理由
window: そして, 部分, 一, 蜘蛛, まず
door: 衣服, そして, こちら, 門, 像
gate: 部分, そして, 理由, 像, 衣服
fence: -と, -たい, 衣服, 理由, そして
roof: 衣服, する, そして, 街道, まず
ladder: -と, -たい, 理由, そして, する
broom: そして, 衣服, 先生, 部分, 理由
spade: 先生, 蜘蛛, -と, そして, 理由
shovel: そして, 先生, 衣服, 理由, 像
fork: 像, 部分, 衣服, 理由, そして
spoon: そして, 先生, 蜘蛛, 理由, 衣服
knife: 衣服, そして, する, 先生, 理由
net: 網, 部分, そして, 像, 街道
hook: 部分, 蜘蛛, 希望, 衣服, そして
handle: 部分, 像, まず, こちら, 理由
lock: 像, -と, 部分, -たい, まず
picture: 像, こちら, -と, そして, 衣服
figure: 部分, 理由, 衣服, 蜘蛛, 文字
doll: 衣服, そして, 先生, 子供, 像
pouch: 理由, そして, 衣服, 袋, 部分
bundle: 部分, 理由, 衣服, まず, 像
bag: 袋, 衣服, そして, 部分, 先生
bucket: 袋, 部分, 衣服, そして, 理由
cover: -と, こちら, 像, そして, 部分
dishes: -と, そして, 理由, -たい, 衣服
sack: そして, 先生, 理由, 部分, -と
cup: そして, 像, 部分, 衣服, まず
pot: そして, 部分, 理由, こちら, まず
kettle: そして, 先生, 理由, -と, する
meal: 理由, 衣服, 部分, 街道, 先生
food: 衣服, 生活, 部分, 料理, 街道
dish: そして, 衣服, まず, 部分, こちら
meat: 肉, 理由, 先生, -と, 衣服
corn: そして, 衣服, する, 先生, 部分
mush: そして, 像, 先生, こちら, 部分
bread: 衣服, する, そして, 肉, 理由
slice: 部分, 理由, 像, まず, 衣服
fat: 像, 部分, そして, 肉, まず
butter: そして, 衣服, 理由, 先生, する
oil: 油, する, 衣服, 街道, 部分
salt: そして, 部分, 理由, する, まず
soup: 衣服, 先生, そして, する, 理由
honey: そして, 先生, 理由, 衣服, 像
milk: 衣服, 先生, 理由, そして, する
tea: 茶, 衣服, 先生, そして, する
leather: そして, こちら, -と, 像, 衣服
wool: 衣服, 先生, -と, そして, 像
cloth: 衣服, そして, する, 部分, 肉
needle: 衣服, そして, する, 像, 棒
thread: 部分, 衣服, そして, 蜘蛛, 像
button: 衣服, 先生, 部分, まず, そして
knot: -と, 理由, 像, そして, 部分
paint: 衣服, そして, 像, まず, する
clothes: 衣服, 理由, 先生, -と, そして
shirt: 衣服, そして, 先生, こちら, 理由
collar: -と, -たい, 衣服, 先生, 襟
sleeve: -たい, -と, 理由, そして, 衣服
trousers: -たい, -と, 衣服, 理由, 襟
belt: 帯, 衣服, 街道, そして, 部分
cap: そして, 部分, 像, 先生, まず
shoe: 衣服, そして, 先生, 理由, -と
boot: 部分, 像, そして, まず, 衣服
ring: そして, 部分, 理由, する, 像
ribbon: 衣服, 部分, 像, そして, 蜘蛛
comb: 部分, そして, 像, 衣服, 理由
mirror: 鏡, 像, そして, 衣服, 部分
strap: 衣服, そして, 部分, 先生, 理由
string: 理由, 部分, 文字, 像, まず
leash: -と, -たい, そして, 像, 先生
blanket: -と, -たい, 衣服, 像, こちら
pillow: 衣服, -と, -たい, 像, そして
scarf: 衣服, -と, -たい, 襟, そして
towel: 衣服, そして, -と, 先生, 理由
force: 部分, 力, そして, 像, 理由
strength: 理由, 部分, そして, する, 像
health: 健康, 生活, 街道, 部分, 新聞
illness: -と, -たい, そして, 理由, 罪
pain: そして, 先生, 理由, する, こちら
wound: そして, 理由, こちら, 部分, 先生
fever: 理由, 先生, -と, そして, 件
medicine: 衣服, 理由, する, 先生, 部分
bridge: 街道, 橋, 部分, 衣服, 先生
well: そして, 像, 先生, まず, よく
pasture: -と, 街道, 場所, こちら, 跡
path: 部分, 理由, 距離, 場所, 街道
way: そして, 像, 先生, 部分, 理由
road: 街道, そして, こちら, まだ, 先生
village: -と, -たい, 場所, こちら, そして
town: 町, 街道, 場所, 村, こちら
letter: 文字, 衣服, 部分, 先生, そして
book: 部分, そして, 像, 衣服, こちら
character: 理由, 先生, 文字, そして, 部分
newspaper: -と, -たい, 像, こちら, そして
life: 生活, 先生, する, 理由, そして
death: そして, 死, 罪, する, 理由
grave: 墓, そして, 理由, 先生, 罪
church: 街道, そして, こちら, 店, 先生
sin: 罪, 理由, そして, する, 先生
god: 神, 先生, そして, 像, する
worker: 先生, 街道, 部分, 主人, 女性
boss: 先生, 像, 主人, そして, 部分
master: 部分, 先生, 像, そして, 主人
doctor: 先生, 像, そして, 主人, 部分
teacher: 先生, 主人, そして, 子供, 像
money: 衣服, 先生, 理由, そして, 部分
business: こちら, 街道, 部分, する, そして
shop: こちら, 店, そして, 像, 部分
price: 距離, 部分, 理由, こちら, 場所
ware: そして, こちら, 部分, 像, まず
profit: 理由, する, そして, 部分, 先生
wealth: 健康, 部分, 理由, 街道, 衣服
world: 世界, そして, こちら, 部分, 街道
country: 街道, 場所, そして, 部分, 先生
state: 部分, 街道, 国家, そして, 地域
king: 像, 先生, そして, 部分, 衣服
power: 部分, する, そして, 理由, まず
border: 部分, そして, 街道, まず, こちら
war: する, そして, 理由, こちら, 衣服
enemy: 敵, そして, 先生, 蜘蛛, 理由
violence: -と, -たい, 罪, 理由, そして
fight: そして, 部分, 像, こちら, 蜘蛛
bow: 像, そして, 衣服, 先生, 部分
arrow: 場所, こちら, -と, まず, 名前
gun: そして, 衣服, 先生, 像, 部分
mistake: -と, -たい, 理由, 像, そして
lie: そして, 理由, 先生, する, 像
damage: 部分, 理由, そして, 罪, 距離
misfortune: 理由, -と, 先生, する, -たい
fault: 理由, 部分, そして, 像, 罪
age: 部分, 理由, 距離, 時間, 先生
conclusion: -と, -たい, 理由, 部分, そして
time: 時間, 時, 理由, そして, 場所
day: そして, 日, 部分, 先生, 理由
morning: 像, そして, 先生, こちら, する
noon: そして, こちら, 場所, 先生, 部分
evening: -と, -たい, 像, そして, 部分
night: 夜, そして, 像, まだ, する
week: 週, そして, 部分, 理由, 場所
month: 月, 年, 週, 場所, 部分
year: 年, 場所, 理由, 部分, 先生
spring: 春, 秋, 部分, 冬, 希望
summer: 夏, そして, 先生, する, こちら
autumn: そして, 像, -と, こちら, まず
winter: 冬, そして, こちら, 先生, 五月
January: 場所, こちら, そして, まず, 新聞
February: こちら, 場所, そして, まず, まだ
March: こちら, 場所, そして, まず, まだ
April: こちら, 場所, そして, まず, まだ
May: こちら, そして, 五月, 像, まず
June: こちら, 場所, そして, まず, まだ
July: こちら, 場所, そして, まず, まだ
August: こちら, 場所, そして, まず, まだ
September: こちら, 場所, そして, まず, まだ
October: こちら, 場所, そして, まず, まだ
November: こちら, 場所, そして, まず, 新聞
December: こちら, 場所, そして, まず, まだ
Monday: 場所, こちら, そして, まず, 今日
Tuesday: 場所, こちら, そして, まず, 今日
Wednesday: 場所, こちら, そして, まず, 今日
Thursday: 場所, こちら, そして, まず, 新聞
Friday: こちら, 場所, そして, まず, 新聞
Saturday: 場所, こちら, そして, まず, する
Sunday: 場所, こちら, そして, まず, する
big: 像, そして, 部分, まず, こちら
little: 像, そして, こちら, まず, 部分
long: そして, 像, 部分, 先生, まず
short: 部分, 像, そして, まず, まだ
wide: そして, 部分, 高い, 像, まず
narrow: そして, 部分, まず, 高い, 街道
dense: 部分, 像, そして, 高い, まず
thick: -と, そして, 像, 部分, まず
thin: 像, そして, 部分, まず, 高い
delicate: 像, -と, -たい, する, そして
firm: 部分, そして, 先生, こちら, 像
flat: 部分, 像, まず, そして, 高い
smooth: 像, そして, 部分, まず, する
hard: 部分, そして, 像, する, まず
soft: そして, 像, 部分, まず, まだ
round: そして, まず, 像, 部分, 円
pointed: -と, -たい, 像, 指, 部分
sharp: 像, そして, 部分, まず, する
blunt: そして, 部分, 像, 先生, 理由
heavy: そして, 部分, 高い, 像, まず
beautiful: 像, そして, こちら, まず, 部分
hot: 像, 熱, 部分, そして, まず
warm: そして, 像, まず, こちら, 部分
cold: そして, まず, まだ, する, 熱
cool: 像, そして, まず, 部分, こちら
fresh: 像, そして, まず, 部分, こちら
damp: そして, 部分, まず, 理由, まだ
wet: そして, 部分, まず, 高い, まだ
dry: そして, まず, 部分, 像, まだ
full: 部分, 像, そして, まず, まだ
empty: 部分, まず, 像, そして, 空
open: 像, 部分, まず, こちら, そして
closed: 像, 部分, こちら, そして, -と
clean: 部分, まず, そして, 像, こちら
dirty: 像, そして, 部分, まず, まだ
raw: 部分, そして, 像, まず, する
ripe: 部分, 像, そして, 理由, 街道
delicious: -と, -たい, 像, こちら, そして
sweet: 像, そして, こちら, 部分, まだ
bitter: そして, する, 理由, 先生, 部分
sour: そして, する, こちら, 理由, まず
bright: そして, 像, まず, まだ, こちら
dark: そして, 像, まず, 部分, まだ
black: 像, そして, まず, 部分, こちら
white: そして, 像, まず, こちら, 部分
red: そして, 像, まず, 部分, こちら
yellow: そして, 像, まず, 衣服, こちら
blue: 像, そして, こちら, まず, 部分
green: そして, こちら, まず, 像, 部分
grey: 灰, そして, 像, まず, まだ
colourful: 衣服, そして, 像, まず, する
cheap: 像, まず, こちら, そして, 部分
dear: 像, -と, -たい, こちら, そして
precious: そして, -と, -たい, 像, こちら
blind: 像, そして, 部分, こちら, まず
deaf: こちら, 像, そして, -と, 先生
powerful: 像, 部分, -と, する, -たい
strong: 部分, 像, そして, 高い, まず
weak: 部分, 像, 高い, そして, まず
slim: 像, 部分, そして, 衣服, 街道
pretty: 像, そして, こちら, 部分, まず
evil: 像, そして, 部分, 先生, する
stupid: 像, 部分, そして, まず, -と
lazy: 像, 部分, まず, そして, 理由
diligent: -と, -たい, そして, 理由, 部分
stingy: -と, -たい, 像, 理由, 先生
clever: 像, -と, そして, -たい, 部分
skilful: -と, -たい, 像, する, 理由
merry: そして, 像, 先生, こちら, 部分
gentle: -と, 像, そして, -たい, こちら
hungry: 像, 先生, 衣服, そして, する
sick: そして, 像, 部分, -と, -たい
naked: 像, そして, -と, こちら, -たい
sad: 像, そして, 部分, まだ, する
living: 生活, そして, 部分, する, 像
good: 像, 良い, 部分, そして, まず
bad: 像, 部分, 良い, そして, まず
correct: 部分, 像, そして, まず, 高い
nasty: 像, そして, 部分, -と, こちら
true: そして, 像, 部分, こちら, する
old: 像, 部分, そして, まず, こちら
new: 像, こちら, 部分, まず, そして
former: こちら, -たい, 像, -と, まず
aged: 像, そして, 部分, こちら, まず
young: 像, そして, こちら, 部分, まず
poor: -と, 像, -たい, そして, 部分
rich: 像, そして, 部分, 先生, まず
familiar: -と, -たい, 像, 部分, そして
famous: -と, -たい, 像, 部分, そして
foreign: 部分, そして, まず, こちら, 街道
different: 像, 部分, まず, そして, 高い
near: こちら, 距離, 像, そして, -と
far: そして, こちら, まだ, まず, する
left: そして, 部分, こちら, まず, 前に
right: 部分, そして, 像, まず, 理由
other: 部分, こちら, 像, まず, そして
first: 部分, まず, そして, 首, 像
second: そして, 部分, まず, 像, こちら
third: そして, 部分, 像, まず, こちら
last: 部分, そして, 像, まず, こちら
alone: そして, -たい, -と, 理由, 像
at once: -たい, -と, 像, こちら, 件
together: -と, -たい, 像, こちら, そして
suddenly: -と, そして, -たい, 像, 先生
instantly: 像, そして, -と, まず, する
later: そして, 像, 部分, -と, こちら
now: そして, 像, こちら, 部分, まず
today: 今日, そして, こちら, 像, 先生
tomorrow: -と, 像, -たい, 先生, そして
soon: そして, -と, 先生, -たい, 理由
then: -と, 像, そして, -たい, 部分
yesterday: -と, -たい, 像, そして, こちら
once: 像, そして, -と, 部分, こちら
at that time: -たい, -と, 像, 樅, 場所
afterwards: -と, -たい, 像, そして, 部分
before: 像, そして, まず, 部分, こちら
at first: -と, -たい, 像, こちら, まず
sometimes: 像, そして, 部分, -たい, -と
often: -と, そして, 像, 部分, -たい
always: そして, 像, 部分, 先生, 理由
never: そして, 先生, まだ, する, 像
here: -と, -たい, こちら, 理由, 先生
hither: -と, 理由, そして, -たい, 先生
hence: -と, -たい, そして, 理由, 像
there: する, そして, こちら, 理由, 先生
thither: -と, -たい, 理由, そして, 像
ahead: 部分, 像, そして, こちら, 理由
forward: 部分, そして, 像, まず, こちら
backward: そして, こちら, 新聞, まず, 場所
below: -たい, -と, 部分, こちら, そして
down: そして, 像, 部分, 高い, 衣服
above: -たい, こちら, 像, -と, 部分
up: 部分, そして, 像, 街道, まず
everywhere: -たい, -と, 像, そして, こちら
not: 像, 部分, そして, こちら, まず
a little: -たい, -と, 像, こちら, そして
hardly: 像, する, 部分, そして, ない
very: 像, そして, 部分, こちら, まず
so: 像, そして, 部分, -と, こちら
still: 像, そして, まだ, 部分, 先生
only: 像, そして, 部分, こちら, まず
already: そして, 像, -と, こちら, 部分
again: そして, -たい, 像, -と, 理由
in vain: -たい, -と, 場所, 像, こちら
in front of: -たい, -と, 場所, 像, こちら
behind: -と, -たい, 像, そして, こちら
under: 像, こちら, まず, 部分, そして
through: 像, -と, -たい, 部分, そして
next to: -と, -たい, 像, こちら, 場所
between: 像, -と, -たい, 部分, まず
because of: -たい, -と, 像, 部分, そして
this: 部分, 像, 本, そして, まず
that: 像, -と, -たい, そして, 部分
everything: 像, こちら, そして, 部分, まず
I: そして, 先生, こちら, まず, 部分
you: 像, そして, 先生, 部分, 主人
thou: -と, そして, -たい, 理由, 像
he: こちら, 像, -と, -たい, そして
we: そして, 先生, 部分, こちら, 像
they: そして, 像, 部分, 先生, 首
what: 像, 部分, そして, こちら, -たい
who: 先生, 誰, そして, 主人, 店
where: 像, -と, -たい, 部分, そして
where ... to: -と, -たい, 像, 場所, 件
how: 像, 部分, -と, そして, -たい
why: 像, -と, -たい, 部分, まず
how much: -たい, -と, 像, 部分, まず
one: そして, 部分, こちら, 像, 一
two: 四, 像, 部分, そして, まず
three: 四, 五, 三, 六, 十二
four: 四, 五, 六, 十二, 八
five: 五, 四, 十, 六, 十二
six: 六, 四, 十, 十二, 五
seven: 七, 五, 十, 十一, 十二
eight: 八, 十, 十二, 四, 六
nine: 九, 十一, 十, 十二, 八
ten: 十, 二十, 十一, そして, 十二
eleven: 十一, -と, こちら, そして, -たい
twelve: -と, -たい, 十二, 像, 十
twenty: 二十, 十, 十二, そして, 十一
thirty: 二十, -と, そして, 十, 部分
