eye: face, tube, altitude, plier, roi
feather: feu, feuille, poser, plume, tube
fur: plier, poser, dur, rire, ombre
wing: plier, poser, lever, vent, chant
claw: clou, cliqueter, clôture, jeter, poser
tail: face, plier, correct, tube, poser
egg: plier, animal, tube, poser, face
nest: poser, orient, plier, vent, changer
lair: laine, lancer, lisse, lait, loup
animal: animal, altitude, poser, face, combat
flock: faim, froid, fuir, fleur, fille
cow: animal, poser, plier, pain, face
bull: poser, plier, rire, sale, animal
horse: animal, plier, altitude, poser, face
sheep: rameau, grimper, plier, jambe, manche
pig: animal, poser, plier, correct, face
dog: animal, plier, poser, pain, face
cat: animal, poser, chat, plat, lit
bear: poser, animal, plier, grimper, face
squirrel: sable, svelte, sombre, sot, souris
elk: jeter, poser, marcher, marais, ciel
fox: poser, plier, porter, orient, chef
hare: rire, plier, poser, rame, seau
mouse: animal, force, face, correct, altitude
wolf: poser, animal, plier, porter, ramer
bird: animal, plier, poser, altitude, pain
swarm: poser, botter, talon, pointu, rivage
chicken: chien, chaleur, chanson, chasser, champignon
cock: plier, poser, vent, pain, chant
goose: goût, goûter, poser, noir, rameau
eagle: eau, roi, talon, altitude, poser
duck: poser, plier, animal, chef, grimper
owl: poser, animal, plier, face, porter
crane: craindre, crasseux, brume, plume, plier
crow: poser, plier, rire, ramer, seau
cuckoo: cuisse, croc, cacher, coudre, caverne
swan: jeter, poser, talon, grimper, marcher
fish: animal, plier, poser, altitude, face
perch: perche, perdre, percevoir, poser, chaleur
pike: poser, filer, trace, commerce, route
snake: poser, tube, animal, face, altitude
worm: poser, plier, animal, tube, terrain
spider: poser, botter, plume, talon, papillon
ant: chant, dent, poser, vent, seau
louse: lisse, laine, larme, lune, lacs
midge: mousse, manger, mari, molester, marmite
fly: poser, plier, six, lit, animal
butterfly: blessure, brouillard, battre, moustache, bavarder
berry: plier, porter, poser, altitude, animal
apple: poser, plier, porter, roi, sale
mushroom: moustache, mousse, marmite, moucheron, molester
onion: oncle, onze, canard, toit, poser
seed: animal, terrain, correct, poser, altitude
grain: grain, gronder, gratter, grue, gras
hay: plier, rire, poser, ton, chant
husk: poser, dessus, hibou, menton, gorge
pit: lit, plier, poser, pot, vent
trap: poser, changer, plier, filer, correct
noose: noir, poser, plier, fourmi, pointu
track: poser, plier, terrain, sale, correct
ashes: poser, ours, plier, rire, parents
filth: fil, grimper, poser, renard, ruban
iron: placer, plier, large, tube, animal
gold: placer, plier, large, sale, oreille
silver: plier, large, ombre, placer, sale
coal: placer, tube, plier, animal, oreille
glass: plier, large, ombre, tube, front
clay: clou, cliqueter, clôture, jeter, glaise
sand: placer, plier, vent, tube, pot
human: animal, cause, correct, second, poser
man: manche, poser, son, seau, plier
woman: parents, plier, pain, poser, homme
child: parents, animal, pain, payer, poser
boy: poser, parents, plier, chant, animal
girl: poser, parents, plier, animal, chef
family: parents, animal, conversation, altitude, poser
grandfather: grandeur, grand, grand-père, grand-mère, grimper
grandmother: grandeur, grand, grand-mère, grand-père, grimper
parents: parents, poser, payer, ours, supporter
father: parents, poser, plier, seau, chef
mother: parents, poser, plier, pain, cause
son: son, sonner, ton, chant, poser
daughter: parents, poser, plier, cause, seau
brother: brochet, croix, jeter, grimper, soulier
sister: sœur, sombre, sable, sot, sang
uncle: oncle, jeter, ancien, grimper, patron
aunt: aile, aide, aigu, aigre, aigle
husband: sonner, menton, poser, ours, son
wife: parents, poser, plier, homme, seau
joy: poser, plier, rire, seau, chant
laughter: pain, conversation, poser, plier, cause
happiness: hiver, hôte, hurler, haleine, huit
grief: givre, geler, goutte, gai, pain
wish: poser, ours, chant, plier, cause
desire: dessus, dessiner, seau, esprit, menton
spirit: poser, plier, lit, altitude, conversation
thought: conversation, cause, poser, pain, force
memory: conversation, terrain, poser, correct, force
mind: poser, pain, face, conversation, chant
meaning: cause, place, poser, conversation, plier
reason: cause, poser, chant, conversation, parents
truth: poser, conversation, pain, parents, cause
talk: conversation, chat, journal, poser, terrain
fairy tale: fameux, femme, fleur, famille, fumée
story: conversation, poser, journal, place, figure
message: message, route, filer, file, place
news: image, journal, commerce, roi, chat
name: place, route, message, correct, distance
puzzle: prier, poids, penser, pierre, pelle
speech: conversation, poser, pain, correct, altitude
language: conversation, route, commerce, altitude, terrain
voice: face, conversation, force, poser, altitude
word: correct, poser, conversation, face, distance
sign: signe, correct, part, poser, force
call: correct, force, filer, cause, place
noise: altitude, tube, charge, force, distance
sound: conversation, terrain, poser, altitude, face
tone: poser, face, force, tube, altitude
song: songe, poser, conversation, chant, plier
calm: calme, noir, menton, marcher, grimper
people: parents, poser, place, conversation, altitude
nation: conversation, parents, poser, commerce, payer
work: conversation, place, poser, sale, parents
guest: poser, conversation, parents, chef, journal
gift: poser, plier, sale, conversation, place
game: route, poser, commerce, journal, terrain
company: commerce, payer, parents, place, roi
help: parents, correct, cause, force, place
friend: poser, parents, conversation, filer, place
companion: compter, comprendre, supporter, commencer, poser
matter: cause, poser, force, plier, conversation
count: correct, distance, temps, place, filer
sort: sorte, correct, filer, place, route
piece: poser, place, plier, terrain, face
part: part, partie, partout, partir, chant
half: six, second, long, large, plier
circle: distance, poser, terrain, face, altitude
cross: correct, force, face, plier, front
line: tube, route, distance, face, force
stroke: altitude, face, pain, conversation, force
gap: poser, terrain, distance, plier, altitude
distance: distance, altitude, force, route, place
area: distance, altitude, place, route, terrain
space: altitude, place, terrain, poser, face
place: place, route, distance, cause, poser
side: front, tube, face, large, altitude
middle: second, large, correct, front, poser
item: filer, poser, route, terrain, place
thing: poser, conversation, chant, cause, place
fringe: frapper, frère, brume, branche, poser
edge: force, face, tube, altitude, route
corner: front, large, plier, tube, porter
tip: poser, plier, face, filer, roi
end: endroit, correct, cause, endommager, lit
hole: tube, plier, charge, force, poser
angle: distance, altitude, force, figure, face
pattern: terrain, route, correct, poser, face
size: distance, place, route, correct, force
length: distance, correct, force, place, altitude
height: distance, altitude, correct, place, force
weight: distance, correct, force, altitude, face
amount: correct, distance, place, temps, force
heap: terrain, route, trace, poser, filer
row: correct, poser, filer, distance, terrain
boat: plier, poser, sale, ski, tube
oar: oignon, où, toit, arête, oie
sleigh: sable, sombre, sot, svelte, souris
ski: ski, roi, ami, poser, altitude
campfire: grimper, saveur, noir, grandeur, boutique
load: source, message, correct, file, route
walk: poser, place, conversation, plier, face
step: correct, poser, force, distance, filer
north: fort, grand, front, porter, ville
south: grand, fort, ville, porter, rire
west: fort, porter, clair, grand, ville
east: fort, grand, rire, porter, ville
wood: plier, large, ombre, tube, front
board: terrain, filer, journal, poser, route
slab: plume, glaise, plier, grain, plaque
bracket: branche, brume, bruit, briller, brut
pole: plier, tube, poser, altitude, sale
stick: poser, plier, terrain, face, correct
staff: parents, payer, poser, supporter, chef
pipe: tube, plier, face, large, poser
house: sale, plier, face, large, poser
home: altitude, commerce, image, roi, place
stove: plier, tube, jeter, mousse, moustache
floor: tube, plier, large, face, front
table: table, tableau, figure, terrain, route
chair: plier, poser, sale, front, porter
cradle: craindre, crasseux, poser, gronder, talon
bed: plier, vent, poser, front, large
shelf: plier, tube, poser, large, front
box: poser, tube, plier, terrain, face
window: table, journal, figure, filer, terrain
door: plier, poser, tube, front, sale
gate: tube, poser, plier, force, face
fence: froid, faim, fleur, fuir, femme
roof: tube, plier, front, large, terrain
ladder: lancer, lisse, laine, larme, lacs
broom: brouillard, blessure, bord, bague, battre
spade: poser, plume, plier, pointu, rameau
shovel: poser, jeter, plier, grimper, talon
fork: poser, plier, face, correct, changer
spoon: poser, plier, papillon, talon, plume
knife: tube, plier, face, poser, route
net: net, nettoyer, chat, filer, poser
hook: poser, figure, trace, table, filer
handle: correct, place, route, filer, force
lock: plier, poser, pin, sale, place
picture: image, poser, place, conversation, sale
figure: figure, terrain, poser, place, face
doll: poser, plier, chant, animal, rire
pouch: prier, penser, poids, pierre, papillon
bundle: route, trace, filer, message, force
bag: plier, poser, sale, vent, chant
bucket: tube, plier, poser, correct, face
cover: image, poser, place, sale, conversation
dishes: duper, dix, dieu, dormir, doux
sack: sable, sot, sombre, sac, sud
cup: plier, poser, pot, face, lit
pot: pot, potage, poser, lit, plier
kettle: jeter, talon, hiver, mousse, moustache
meal: route, conversation, altitude, correct, poser
food: animal, altitude, conversation, pain, commerce
dish: plier, poser, tube, face, lit
meat: plier, jambe, calme, moustache, rameau
corn: plier, pot, grain, pain, placer
mush: manger, mousse, moustache, mari, moucheron
bread: plier, poser, pain, sale, conversation
slice: route, tube, poser, trace, face
fat: poser, plier, pain, lit, plat
butter: bord, blessure, bête, brouillard, battre
oil: tube, plier, placer, air, animal
salt: altitude, tube, poser, plier, terrain
soup: plier, poser, conversation, chef, rire
honey: hiver, haleine, hôte, huit, hurler
milk: mousse, manger, marmite, moustache, mari
tea: tube, roi, altitude, plier, poser
leather: bleu, cadeau, soulier, ruban, magasin
wool: noir, plier, joie, crochet, poser
cloth: plier, large, tube, poser, animal
needle: plier, tube, face, coin, altitude
thread: correct, face, route, poser, tube
button: menu, poser, figure, filer, terrain
knot: talon, poser, jeter, hiver, duper
paint: plier, large, poser, sale, orient
clothes: plier, crochet, couler, poser, chemise
shirt: plier, poser, sale, face, conversation
collar: coller, colline, plier, poser, multicolore
sleeve: sable, sombre, sot, svelte, saisir
trousers: tranchant, trancher, tranche, troupeau, tricoter
belt: plier, tube, placer, poser, sale
cap: poser, lit, plier, seau, vent
shoe: poser, plier, moustache, jeter, jambe
boot: poser, changer, plier, filer, terrain
ring: plier, tube, poser, face, force
ribbon: plier, poser, tube, terrain, face
comb: combien, poser, plier, correct, tube
mirror: plier, poser, terrain, tube, face
strap: plier, poser, tube, face, changer
string: correct, message, distance, route, filer
leash: cadeau, bleu, ongle, soulier, ruban
blanket: presser, saveur, frontière, plier, fourmi
pillow: plier, poser, ruban, grimper, presser
scarf: plier, poser, ruban, grimper, moustache
towel: talon, tendon, tuer, tête, tournant
force: force, charge, distance, correct, cause
strength: force, cause, correct, distance, altitude
health: commerce, parents, pain, profit, conversation
illness: pain, cause, parents, menton, violence
pain: pain, cause, plier, altitude, conversation
wound: tendon, pain, plier, vague, talon
fever: feu, feuille, poser, calme, veine
medicine: commerce, altitude, plier, poser, conversation
bridge: tube, plier, altitude, large, route
well: cause, plier, ours, or, pain
pasture: menton, animal, fourmi, grimper, plier
path: route, terrain, distance, filer, trace
way: cause, poser, ours, plier, seau
road: terrain, altitude, poser, route, combat
village: village, vache, vivant, vague, vrai
town: place, poser, ville, terrain, sale
letter: poser, conversation, correct, journal, face
book: journal, conversation, poser, place, sale
character: poser, conversation, terrain, correct, place
newspaper: supporter, presser, collectionner, boutique, saveur
life: altitude, conversation, pain, parents, prise
death: pain, poser, conversation, plier, cause
grave: grave, face, poser, altitude, prise
church: court, parents, conversation, poser, commerce
sin: sein, poser, seau, pin, si
god: poser, plier, son, pain, ours
worker: filer, poser, payer, force, parents
boss: poser, plier, chef, roi, ramer
master: poser, plier, changer, filer, correct
doctor: poser, parents, chef, plier, roi
teacher: parents, poser, chef, payer, conversation
money: profit, coin, conversation, poser, parents
business: commerce, conversation, roi, parents, profit
shop: sale, poser, plier, journal, place
price: distance, altitude, sale, route, place
ware: seau, poser, rire, plier, ramer
profit: profit, payer, roi, poser, conversation
wealth: profit, conversation, pain, poser, payer
world: altitude, conversation, orient, second, animal
country: terrain, altitude, conversation, poser, place
state: commerce, route, force, correct, altitude
king: plier, poser, porter, ville, chef
power: force, charge, altitude, tube, poser
border: terrain, poser, altitude, correct, face
war: poser, combat, plier, rire, pain
enemy: poser, force, correct, terrain, conversation
violence: violence, poser, menton, attendrir, cause
fight: combat, cause, poser, conversation, pain
bow: plier, poser, sale, front, vent
arrow: image, place, poser, menu, roi
gun: plier, poser, coin, animal, combat
mistake: poser, menton, pointu, chant, toit
lie: lieu, prise, seau, plier, rame
damage: force, cause, charge, altitude, distance
misfortune: poser, rire, plier, attendre, attendrir
fault: correct, force, altitude, cause, terrain
age: distance, altitude, place, force, face
conclusion: conserver, concevoir, construire, conduire, seau
time: distance, altitude, force, route, charge
day: poser, distance, temps, place, conversation
morning: marais, grimper, noir, menton, gorge
noon: poser, rire, chant, plier, bout
evening: noir, second, boutique, cause, attendre
night: pain, plier, combat, animal, poser
week: conversation, poser, temps, parents, place
month: temps, correct, distance, route, place
year: place, distance, poser, parents, temps
spring: poser, conversation, terrain, figure, commerce
summer: poser, plier, été, sale, porter
autumn: autre, automne, autrefois, marcher, grimper
winter: poser, animal, plier, porter, altitude
January: été, année, janvier, octobre, novembre
February: été, année, octobre, novembre, février
March: été, novembre, octobre, six, pain
April: été, janvier, novembre, année, octobre
May: or, été, pain, six, jour
June: été, année, janvier, octobre, novembre
July: été, octobre, novembre, année, février
August: été, octobre, novembre, année, janvier
September: été, année, octobre, novembre, six
October: octobre, été, novembre, année, six
November: novembre, été, octobre, année, six
December: été, année, octobre, novembre, six
Monday: été, six, année, pain, rire
Tuesday: été, six, année, rire, pain
Wednesday: été, six, année, rire, conversation
Thursday: été, six, année, rire, conversation
Friday: été, six, année, ombre, rire
Saturday: été, six, année, rire, altitude
Sunday: été, six, année, altitude, pain
big: large, poser, long, six, plier
little: large, six, second, poser, plier
long: long, longtemps, longueur, large, correct
short: long, second, correct, large, six
wide: large, tube, altitude, face, plier
narrow: nous, nager, nord, nuit, narration
dense: dense, large, correct, tube, force
thick: thé, plier, ruban, moustache, large
thin: large, tube, plier, dense, correct
delicate: calme, noir, solide, plier, soleil
firm: poser, plier, chant, seau, place
flat: large, tube, plier, front, correct
smooth: correct, large, long, plier, poser
hard: plier, long, large, correct, tube
soft: correct, large, plier, poser, face
round: large, plier, front, long, tube
pointed: pointe, pointu, plier, correct, large
sharp: plier, large, poser, correct, tube
blunt: blanc, blé, poser, plume, talon
heavy: large, dense, tube, correct, plier
beautiful: large, ombre, six, plier, sale
hot: plier, poser, sale, large, lit
warm: large, plier, long, ombre, six
cold: large, plier, long, tube, pain
cool: large, poser, sale, plier, ombre
fresh: large, sale, six, plier, poser
damp: duper, dix, dieu, doux, dormir
wet: talon, hiver, sot, sable, jeter
dry: large, plier, long, tube, air
full: large, correct, second, long, front
empty: correct, large, place, distance, route
open: correct, trait, trace, main, message
closed: large, correct, second, plier, cause
clean: correct, poser, large, force, orient
dirty: poser, large, six, plier, correct
raw: correct, large, poser, animal, chef
ripe: poser, plier, altitude, roi, seau
delicious: saveur, brochet, noir, richesse, ficelle
sweet: poser, plier, chef, six, clair
bitter: bord, blessure, bête, bague, brouillard
sour: souris, sombre, sourd, sable, sot
bright: large, six, plier, lit, sale
dark: large, poser, six, ombre, second
black: large, ombre, plier, six, poser
white: large, ombre, tube, plier, grave
red: large, ombre, plier, poser, clair
yellow: large, ombre, plier, poser, long
blue: large, ombre, plier, tube, poser
green: large, poser, plier, sale, porter
grey: ombre, large, plier, porter, poser
colourful: fourmi, large, terrain, noir, ombre
cheap: sale, large, prix, plier, ombre
dear: devenir, de nouveau, deux, de retour, onze
precious: précieux, ancien, occident, poser, noir
blind: poser, correct, second, plier, cause
deaf: devenir, deux, de nouveau, de retour, rire
powerful: force, large, correct, altitude, canard
strong: correct, cause, second, force, large
weak: correct, force, second, dense, cause
slim: poser, jeter, grimper, talon, lancer
pretty: poser, large, correct, six, plier
evil: poser, plier, animal, noir, combat
stupid: jeter, poser, noir, duper, talon
lazy: poser, correct, terrain, force, chat
diligent: duper, dix, dormir, dissimuler, danser
stingy: grimper, blessure, jeter, fameux, hurler
clever: poser, bleu, pleurer, menton, richesse
skilful: grimper, blessure, tranchant, craindre, gentil
merry: manger, mousse, mari, mère, marcher
gentle: gentil, menton, poser, noir, grimper
hungry: grimper, poser, hibou, saveur, jeter
sick: sombre, sot, sable, sud, sens
naked: nous, nager, nuit, nord, narration
sad: poser, chant, lit, rire, bout
living: conversation, animal, poser, cause, six
good: correct, second, large, six, poser
bad: correct, poser, second, lit, six
correct: correct, force, second, cause, poser
nasty: nager, nous, nuit, nord, narration
true: altitude, correct, cause, poser, force
old: large, poser, second, sale, six
new: second, correct, sale, poser, large
former: second, seau, six, bout, cause
aged: plier, six, ours, poser, large
young: six, poser, homme, second, plier
poor: poisson, poitrine, noir, seau, puissant
rich: richesse, poser, chant, clair, orient
familiar: fuir, faim, fumer, froid, femme
famous: fameux, faim, fuir, fleur, femme
foreign: second, correct, animal, commerce, payer
different: correct, large, cause, second, six
near: seau, cause, bout, place, second
far: fardeau, seau, rire, poser, fer
left: correct, front, place, face, second
right: correct, cause, second, face, front
other: cause, correct, second, six, place
first: second, correct, force, distance, large
second: second, correct, six, cause, force
third: second, six, correct, cause, force
last: second, correct, six, poser, long
alone: poser, cause, seau, parents, place
at once: orner, toit, or, attendre, plus tard
together: toit, orner, attendre, cause, or
suddenly: sombre, sot, sable, sud, sens
instantly: noir, canard, plier, juste, canot
later: or, cause, seau, dent, lier
now: cause, ours, bout, poser, parents
today: poser, ours, bout, parents, sale
tomorrow: tomber, tombe, jeter, grimper, renard
soon: ours, seau, bout, chant, poser
then: or, cause, orner, dent, seau
yesterday: y, soir, attendre, toit, attendrir
once: cause, ours, seau, poser, place
at that time: orner, attendre, plus tard, toit, attendrir
afterwards: cause, orner, attendre, toit, or
before: correct, cause, second, force, distance
at first: orner, or, toit, attendre, forêt
sometimes: cause, or, ours, bout, poser
often: or, cause, prise, orner, ours
always: parents, ours, cause, poser, or
never: parents, or, pain, ours, plier
here: ours, place, cause, seau, poser
hither: hiver, hurler, hôte, haleine, huit
hence: hiver, hôte, hier, hurler, huit
there: ours, cause, pain, prise, plier
thither: thé, attendrir, menton, blessure, poser
ahead: poser, conversation, cause, place, seau
forward: correct, force, distance, second, cause
backward: image, été, comment, parents, année
below: cause, correct, seau, plier, prise
down: correct, plier, poser, cause, face
above: cause, place, correct, large, seau
up: poser, correct, place, lit, bout
everywhere: attendre, noir, cause, boutique, supporter
not: or, cause, ours, bout, chant
a little: aide, aile, aigu, aiguille, aigle
hardly: canard, plier, noir, long, longtemps
very: cause, ours, or, six, an
so: soir, cause, or, seau, bout
still: cause, parents, ours, poser, plier
only: cause, or, ours, bout, poser
already: cause, parents, ours, seau, or
again: cause, poser, ours, parents, seau
in vain: instituteur, orner, or, attendre, toit
in front of: instituteur, orner, forêt, boutique, plus tard
behind: toit, blessure, bout, boutique, attendrir
under: cause, or, six, large, plier
through: cause, or, bout, orner, correct
next to: toit, boutique, attendre, orner, onze
between: cause, or, correct, second, six
because of: cause, or, orner, bout, soir
this: poser, second, correct, cause, changer
that: or, cause, bout, ours, seau
everything: cause, poser, ours, conversation, plier
I: ou, toi, or, y, cou
you: ou, parents, toi, or, ours
thou: thé, jeter, blessure, toujours, chien
he: or, seau, heurter, prise, orner
we: ou, parents, seau, ours, or
they: or, ours, parents, ou, chant
what: cause, correct, six, second, bout
who: parents, seau, ours, toi, prise
where: cause, or, seau, prise, place
where ... to: toit, orner, ne ... pas, ne ... que, ne ... jamais
how: cause, or, bout, correct, large
why: cause, or, bout, correct, canard
how much: canard, canot, canne, cause, or
one: six, second, seau, prise, poser
two: six, fourmi, large, second, correct
three: six, fourmi, large, second, seau
four: six, fourmi, second, fourchette, large
five: six, fourmi, tenir, prise, large
six: six, fourmi, second, tenir, cause
seven: six, fourmi, tenir, second, poser
eight: six, fourmi, tenir, second, plier
nine: six, fourmi, prise, seau, tenir
ten: six, tenir, fourmi, poser, ton
eleven: six, fourmi, tenir, rire, seau
twelve: six, fourmi, fourchette, tenir, poser
twenty: six, fourmi, tenir, plier, sale
thirty: thé, six, fourmi, tenir, fourchette
forty: fort, six, fourmi, tenir, fourchette
fifty: femme, fleur, fille, fuir, faim
sixty: six, fourmi, fourchette, tenir, noir
seventy: sept, se taper, septembre, se passer, seul
eighty: six, fourmi, tenir, fourchette, noir
ninety: six, tenir, fourmi, fourchette, jeter
a hundred: aile, aide, aigu, six, aiguille
a thousand: aigu, aide, aile, aiguille, aigle
and: or, orner, cause, bout, dent
or: or, orner, cause, an, bout
stand: plier, poser, vent, seau, ours
sit: lit, mot, poser, plat, chant
hang: plier, poser, chant, lit, vent
become: toit, seau, beau, attendre, ours
happen: hiver, hôte, hurler, huit, hier
begin: correct, force, route, figure, distance
change: correct, changer, force, route, place
rise: altitude, poser, roi, prise, commerce
set: correct, file, route, message, trace
shine: poser, plier, sale, roi, face
blow: blanc, blé, plier, plume, glaise
stream: poser, correct, place, terrain, changer
flow: force, charge, terrain, altitude, tube
revolve: rivage, poser, envie, pointu, saveur
sway: poser, botter, jeter, affiler, talon
swing: plier, poser, tube, lit, front
fall: poser, plier, sale, animal, large
burn: poser, plier, chant, cause, bout
freeze: tube, force, route, face, trace
thaw: thé, poser, tranchant, blessure, jeter
melt: mousse, manger, mou, mari, marmite
boil: boire, bois, chose, brochet, seau
rot: mot, poser, chant, lit, sel
decay: altitude, charge, force, correct, terrain
snap: poser, plier, lit, changer, chat
sink: plier, vent, poser, tube, sale
pass: passer, correct, changer, filer, poser
appear: cause, poser, ours, seau, place
disappear: disparaître, poser, rester, revenir, plier
decrease: devenir, de nouveau, de retour, deux, seau
increase: correct, cause, force, large, place
grow: poser, plier, sale, cause, six
sparkle: poser, toucher, pointu, botter, fourmi
be noisy: beau, beurre, cause, attendre, prise
chime: chaleur, chasser, chanson, chien, chanceler
tinkle: talon, tuer, tante, tasse, trembler
roar: brochet, poser, jeter, arroser, rouge
rustle: poser, pointu, botter, plier, toucher
howl: canard, poser, attendrir, soir, toit
whistle: jeter, poser, hiver, hurler, plier
shout: jeter, poser, chant, hurler, blessure
groan: brochet, croire, poser, croix, grimper
tremble: trembler, tromper, talon, tournant, tendre
be alive: beau, beurre, attendre, prise, attendrir
be born: beau, beurre, prise, herbe, orner
breathe: blessure, brouillard, battre, bâtir, bord
drink: poser, sale, conversation, place, plier
eat: lit, ours, chat, poser, plat
swallow: poser, jeter, grimper, hibou, botter
get tired: correct, plier, cause, saveur, attendre
fall asleep: plier, attendre, ombre, attendrir, ficelle
wake up: attendre, attendrir, poser, plier, boutique
get up: correct, saveur, poser, plier, attendre
relax: poser, inviter, affiler, changer, envie
fall ill: attendrir, attendre, plier, menton, ficelle
be ill: beurre, beau, prise, herbe, pain
ache: seau, poser, prise, rame, plier
cough: cuisse, croc, cacher, cœur, cime
recover: correct, cause, force, changer, poser
die: seau, vie, prise, sein, plier
perish: perche, perdre, percevoir, sentir, attendrir
move: place, route, correct, force, distance
budge: blessure, bord, brouillard, battre, bête
stand up: plier, canard, attendre, attendrir, offrir
sit down: attendre, plier, attendrir, lit, poser
tumble: talon, trembler, tuer, tête, tasse
pace: seau, poser, prise, plier, rire
go for a walk: goût, goûter, soirée, attendre, attendrir
rush: poser, plier, porter, rire, ramer
hurry: hiver, hurler, hôte, haleine, huit
dash: poser, changer, plier, filer, roi
run: route, correct, force, poser, filer
jump: poser, correct, plier, changer, conversation
climb: clou, cliqueter, clôture, jeter, talon
seesaw: se taper, sept, semaine, seul, se balancer
creep: creuser, poser, crier, plier, cerveau
